invoice_id,order_id,expected_amount,invoice_date,customer_id,invoice_status
INV10060,ORD10060,10534.14,2026-07-02,CUST1060,issued
INV10061,ORD10061,6473.37,2026-06-02,CUST1061,issued
INV10062,ORD10062,3903.45,2026-06-01,CUST1062,issued
INV10063,ORD10063,34325.44,2026-06-03,CUST1063,issued
INV10064,ORD10064,55955.02,2026-06-29,CUST1064,issued
INV10065,ORD10065,17382.14,2026-07-11,CUST1065,issued
INV10066,ORD10066,57546.06,2026-07-09,CUST1066,issued
INV10067,OrD10067,46624.19,08-Jun-2026,CUST1067,issued
INV10068,ORD10068,74498.20,2026-07-05,CUST1068,issued
INV10069,ORD10069,5827.17,2026-07-03,CUST1069,issued
INV10070,ORD10070,5688.50,2026-06-04,CUST1070,issued
INV10071,ORD10071,21039.64,2026-06-08,CUST1071,issued
INV10072,ORD10072,368.93,2026-07-01,CUST1072,issued
INV10073,ORD10073,23774.25,2026-07-24,CUST1073,issued
INV10074,ORD10074,53505.47,2026-07-27,CUST1074,issued
INV10075,ORD10075,5822.41,2026-07-30,CUST1075,issued
INV10076,ORD10076,62617.23,2026-06-17,CUST1076,issued
INV10077,ORD10077,14319.69,2026-06-23,CUST1077,issued
INV10078,ord10078,"41,237.19",17-Jul-2026,CUST1078,issued
INV10080,ORD10080,22632.64,2026-07-06,CUST1080,issued
INV10081,ORD10081,67956.40,2026-07-01,CUST1081,issued
INV10082,OrD10082,41129.12,15-Jun-2026,CUST1082,issued
INV10083,ORD10083,15829.37,2026-06-17,CUST1083,issued
INV10084,ORD10084,51537.81,2026-07-04,CUST1084,issued
INV10085,ORD10085,30041.81,2026-06-29,CUST1085,issued
INV10086,ORD10086,53242.43,2026-07-28,CUST1086,issued
INV10087,ORD10087,11662.94,2026-07-02,CUST1087,issued
INV10088,ORD10088,202.32,2026-06-07,CUST1088,issued
INV10089,ORD10089,39666.16,2026-06-26,CUST1089,issued
INV10090,ORD10090,14458.46,2026-06-16,CUST1090,issued
INV10091,ORD10091,71924.60,2026-07-12,CUST1091,issued
INV10092,ORD10092,72050.01,2026-07-14,CUST1092,issued
INV10093,ORD10093,6173.80,2026-06-15,CUST1093,issued
INV10094,ORD10094,53903.08,2026-06-22,CUST1094,issued
INV10095,ORD10095,15470.87,2026-06-13,CUST1095,issued
INV10096,ORD10096,8264.70,2026-07-09,CUST1096,issued
INV10097,ORD10097,71162.22,2026-06-10,CUST1097,issued
INV10098,ORD10098,3982.86,2026-06-04,CUST1098,issued
INV10099,ORD10099,69876.50,2026-06-21,CUST1099,issued
INV10100,ORD10100,62950.61,2026-06-22,CUST1100,issued
INV10101,ORD10101,31571.72,2026-07-26,CUST1101,issued
INV10103,ORD10103,18676.18,2026-07-11,CUST1103,issued
INV10104,  ORD10104  ,"₹19,350.49",2026-07-16,CUST1104,issued
INV10105,ORD10105,61968.77,2026-06-06,CUST1105,issued
INV10106,ORD10106,45583.34,2026-06-21,CUST1106,issued
INV10107,ORD10107,56491.14,2026-06-14,CUST1107,issued
INV10108,ORD10108,12135.86,2026-06-28,CUST1108,issued
INV10109,ORD10109,7322.05,2026-07-02,CUST1109,issued
INV10112,ORD10112,14011.66,2026-06-15,CUST1112,issued
INV10113,ORD10113,74434.41,2026-07-02,CUST1113,issued
INV10114,ORD10114,7764.70,2026-07-01,CUST1114,issued
INV10115,ORD10115,17543.66,2026-06-03,CUST1115,issued
INV10116,ORD10116,64972.94,2026-06-27,CUST1116,issued
INV10117,ORD10117,53256.99,2026-06-23,CUST1117,issued
INV10118,ORD10118,2963.88,2026-07-16,CUST1118,issued
INV10119,  ORD10119  ,"₹13,967.37",18/06/2026,CUST1119,issued
INV10120,ORD10120,52185.90,2026-06-26,CUST1120,issued
INV10121,ORD10121,66288.75,2026-06-26,CUST1121,issued
INV10122,ORD10122,15354.67,2026-05-31,CUST1122,issued
INV10123,ORD10123,66224.56,2026-06-30,CUST1123,issued
INV10125,ORD10125,21318.80,2026-07-04,CUST1125,issued
INV10126,ord10126,"9,586.11",30/07/2026,CUST1126,issued
INV10127,ORD10127,16438.45,2026-06-26,CUST1127,issued
INV10128,ORD10128,72804.85,2026-07-22,CUST1128,issued
INV10129,ORD10129,29298.76,2026-06-29,CUST1129,issued
INV10130,ORD10130,43738.59,2026-06-28,CUST1130,issued
INV10131,ORD10131,46455.00,2026-07-01,CUST1131,issued
INV10132,ORD10132,8120.00,2026-06-07,CUST1132,issued
INV10134,  ORD10134  ,54933.12 INR,07-23-2026,CUST1134,issued
INV10135,ORD10135,20696.95,2026-07-21,CUST1135,issued
INV10136,ORD10136,46228.38,2026-06-16,CUST1136,issued
INV10137,ORD10137,51008.03,2026-07-26,CUST1137,issued
INV10138,ORD10138,47760.27,2026-06-22,CUST1138,issued
INV10139,ORD10139,55370.44,2026-06-23,CUST1139,issued
INV10140,ORD10140,33226.89,2026-06-12,CUST1140,issued
INV10141,ORD10141,16700.65,2026-06-19,CUST1141,issued
INV10142,OrD10142,17121.75 INR,10/07/2026,CUST1142,issued
INV10143,ORD10143,27530.97,2026-07-24,CUST1143,issued
INV10144,ORD10144,7275.77,2026-07-10,CUST1144,issued
INV10145,ORD10145,4304.18,2026-07-21,CUST1145,issued
INV10146,  ORD10146  ,"₹18,712.43",26/07/2026,CUST1146,issued
INV10147,ORD10147,31047.05,2026-07-04,CUST1147,issued
INV10148,ORD10148,23272.75,2026-06-18,CUST1148,issued
INV10149,ORD10149,28199.39,2026-06-28,CUST1149,issued
INV10150,ord10150,"19,680.86",2026-07-12,CUST1150,issued
INV10151,ORD10151,19601.61,2026-06-15,CUST1151,issued
INV10152,ORD10152,66024.34,2026-06-20,CUST1152,issued
INV10153,ORD10153,64328.45,2026-06-27,CUST1153,issued
INV10154,ORD10154,43941.39,2026-07-07,CUST1154,issued
INV10155,ORD10155,69678.27,2026-06-23,CUST1155,issued
INV10156,ord10156,"51,977.63",11/07/2026,CUST1156,issued
INV10157,ORD10157,2636.16,2026-07-29,CUST1157,issued
INV10158,ORD10158,7580.79,2026-06-06,CUST1158,issued
INV10159,ORD10159,19660.86,2026-06-21,CUST1159,issued
INV10160,ORD10160,35758.60,2026-06-18,CUST1160,issued
INV10161,ORD10161,57999.64,2026-06-23,CUST1161,issued
INV10162,ORD10162,61503.86,2026-06-11,CUST1162,issued
INV10163,ORD10163,36862.64,2026-07-01,CUST1163,issued
INV10164,ORD10164,70795.85,2026-06-19,CUST1164,issued
INV10165,ord10165,70409.48,2026-07-18,CUST1165,issued
INV10166,ORD10166,15538.15,2026-06-15,CUST1166,issued
INV10168,ORD10168,24566.85,2026-06-09,CUST1168,issued
INV10169,ORD10169,51710.70,2026-06-15,CUST1169,issued
INV10170,ORD10170,38126.99,2026-06-18,CUST1170,issued
INV10171,ORD10171,73110.07,2026-07-16,CUST1171,issued
INV10172,ORD10172,19475.74,2026-07-16,CUST1172,issued
INV10173,ORD10173,73789.08,2026-07-21,CUST1173,issued
INV10174,ORD10174,21132.25,2026-07-25,CUST1174,issued
INV10175,ORD10175,37586.44,2026-07-09,CUST1175,issued
INV10176,ORD10176,513.27,2026-06-14,CUST1176,issued
INV10177,ORD10177,63948.05,2026-07-13,CUST1177,issued
INV10178,ORD10178,67116.34,2026-06-16,CUST1178,issued
INV10179,ORD10179,63723.17,2026-06-29,CUST1179,issued
INV10180,ORD10180,67097.63,2026-06-21,CUST1180,issued
INV10181,ORD10181,40797.66,2026-06-10,CUST1181,issued
INV10182,ORD10182,25779.60,2026-07-16,CUST1182,issued
INV10183,ORD10183,54710.08,2026-07-09,CUST1183,issued
INV10184,ORD10184,1096.79,2026-06-26,CUST1184,issued
INV10185,ORD10185,16909.60,2026-07-16,CUST1185,issued
INV10186,ORD10186,54080.79,2026-07-22,CUST1186,issued
INV10187,ORD10187,48755.60,2026-07-18,CUST1187,issued
INV10188,ORD10188,51590.12,2026-06-28,CUST1188,issued
INV10189,ORD10189,24092.01,2026-07-01,CUST1189,issued
INV10190,ORD10190,4374.01,2026-07-22,CUST1190,issued
INV10191,ORD10191,1222.44,2026-05-30,CUST1191,issued
INV10192,ORD10192,43428.68,2026-07-25,CUST1192,issued
INV10193,ORD10193,59396.41,2026-06-09,CUST1193,issued
INV10194,ORD10194,59126.73,2026-07-24,CUST1194,issued
INV10195,ORD10195,50375.02,2026-06-07,CUST1195,issued
INV10196,ORD10196,41834.51,2026-06-30,CUST1196,issued
INV10197,ORD10197,40511.75,2026-07-24,CUST1197,issued
INV10198,ORD10198,37370.73,2026-06-19,CUST1198,issued
INV10199,ORD10199,47814.36,2026-07-09,CUST1199,issued
INV10200,ORD10200,60664.11,2026-06-07,CUST1200,issued
INV10201,ord10201,46933.31,21-Jun-2026,CUST1201,issued
INV10202,ORD10202,41596.67,2026-07-22,CUST1202,issued
INV10203,ORD10203,73823.08,2026-07-25,CUST1203,issued
INV10204,ORD10204,23850.34,2026-06-19,CUST1204,issued
INV10205,ORD10205,66431.54,2026-07-05,CUST1205,issued
INV10206,ORD10206,61664.90,2026-07-01,CUST1206,issued
INV10207,ORD10207,65736.54,2026-06-06,CUST1207,issued
INV10208,OrD10208,49805.11,07-26-2026,CUST1208,issued
INV10209,ORD10209,32357.56,2026-07-10,CUST1209,issued
INV10210,ORD10210,61874.24,2026-07-18,CUST1210,issued
INV10211,ORD10211,44580.32,2026-07-31,CUST1211,issued
INV10212,ORD10212,48373.49,2026-06-14,CUST1212,issued
INV10213,ord10213,"₹73,999.95",24/07/2026,CUST1213,issued
INV10214,ORD10214,22056.43,2026-07-04,CUST1214,issued
INV10215,ORD10215,953.93,2026-06-01,CUST1215,issued
INV10216,ORD10216,23398.59,2026-07-17,CUST1216,issued
INV10217,ORD10217,71546.55,2026-06-10,CUST1217,issued
INV10218,  ORD10218  ,25108.03,17-Jun-2026,CUST1218,issued
INV10219,ORD10219,57881.26,2026-06-14,CUST1219,issued
INV10220,ORD10220,31745.25,2026-07-08,CUST1220,issued
INV10221,ORD10221,11110.23,2026-07-23,CUST1221,issued
INV10222,ORD10222,40544.59,2026-06-30,CUST1222,issued
INV10223,ORD10223,50856.88,2026-06-29,CUST1223,issued
INV10224,ORD10224,6668.80,2026-07-20,CUST1224,issued
INV10225,ORD10225,66393.54,2026-07-04,CUST1225,issued
INV10226,ORD10226,7004.91,2026-07-20,CUST1226,issued
INV10227,ORD10227,18548.23,2026-07-28,CUST1227,issued
INV10228,ORD10228,59072.33,2026-06-08,CUST1228,issued
INV10229,ORD10229,7146.95,2026-06-14,CUST1229,issued
INV10230,ORD10230,69419.60,2026-06-18,CUST1230,issued
INV10231,ORD10231,15154.08,2026-06-11,CUST1231,issued
INV10232,ORD10232,36563.98,2026-07-23,CUST1232,issued
INV10233,ORD10233,19363.81,2026-07-06,CUST1233,issued
INV10234,ORD10234,27881.24,2026-06-15,CUST1234,issued
INV10235,OrD10235,"67,716.31",07-26-2026,CUST1235,issued
INV10236,ORD10236,44400.75,2026-07-18,CUST1236,issued
INV10237,ORD10237,28186.24,2026-06-25,CUST1237,issued
INV10238,ORD10238,53820.28,2026-06-11,CUST1238,issued
INV10239,ORD10239,66664.20,2026-06-09,CUST1239,issued
INV10240,ORD10240,16701.65,2026-06-04,CUST1240,issued
INV10241,ORD10241,31427.90,2026-06-16,CUST1241,issued
INV10242,ORD10242,36876.42,2026-06-21,CUST1242,issued
INV10243,ORD10243,42039.69,2026-07-23,CUST1243,issued
INV10244,ORD10244,74856.61,2026-07-30,CUST1244,issued
INV10245,  ORD10245  ,10911.90,11-Jul-2026,CUST1245,issued
INV10246,ORD10246,42893.35,2026-06-09,CUST1246,issued
INV10247,OrD10247,"₹45,088.83",24-Jul-2026,CUST1247,issued
INV10248,ORD10248,38932.59,2026-06-22,CUST1248,issued
INV10249,ORD10249,10082.82,2026-07-13,CUST1249,issued
INV10250,OrD10250,"₹43,161.49",2026-07-24,CUST1250,issued
INV10251,ORD10251,33538.27,2026-06-02,CUST1251,issued
INV10252,ord10252,46469.02,09/06/2026,CUST1252,issued
INV10253,OrD10253,"₹7,804.56",25/07/2026,CUST1253,issued
INV10254,ORD10254,44426.73,2026-07-25,CUST1254,issued
INV10255,ORD10255,71119.76,2026-05-31,CUST1255,issued
INV10256,OrD10256,"₹2,811.93",30/07/2026,CUST1256,issued
INV10257,ORD10257,18771.40,2026-06-28,CUST1257,issued
INV10258,ORD10258,24393.83,2026-06-12,CUST1258,issued
INV10259,ORD10259,47527.54,2026-07-20,CUST1259,issued
INV10260,ORD10260,20006.32,2026-07-14,CUST1260,issued
INV10261,ORD10261,9215.30,2026-05-31,CUST1261,issued
INV10262,ORD10262,35034.65,2026-07-04,CUST1262,issued
INV10264,ORD10264,52143.11,2026-06-13,CUST1264,issued
INV10265,ORD10265,45998.70,2026-07-01,CUST1265,issued
INV10266,ORD10266,40989.08,2026-07-07,CUST1266,issued
INV10267,ORD10267,24478.28,2026-06-18,CUST1267,issued
INV10268,ORD10268,41379.53,2026-07-08,CUST1268,issued
INV10269,  ORD10269  ,26623.09 INR,2026-07-17,CUST1269,issued
INV10270,ORD10270,20224.33,2026-07-11,CUST1270,issued
INV10271,ORD10271,30840.30,2026-07-05,CUST1271,issued
INV10272,ORD10272,45589.30,2026-06-23,CUST1272,issued
INV10273,ORD10273,22039.62,2026-06-25,CUST1273,issued
INV10274,ORD10274,33357.91,2026-06-11,CUST1274,issued
INV10275,ORD10275,61640.69,2026-06-21,CUST1275,issued
INV10276,ORD10276,2015.58,2026-06-15,CUST1276,issued
INV10277,ORD10277,38856.85,2026-07-04,CUST1277,issued
INV10278,ORD10278,50749.36,2026-06-28,CUST1278,issued
INV10279,ORD10279,37618.07,2026-07-11,CUST1279,issued
INV10280,ORD10280,67446.57,2026-07-07,CUST1280,issued
INV10281,ORD10281,27562.66,2026-06-04,CUST1281,issued
INV10282,ORD10282,61559.54,2026-07-02,CUST1282,issued
INV10283,ORD10283,15663.79,2026-07-26,CUST1283,issued
INV10284,ORD10284,51911.26,2026-05-31,CUST1284,issued
INV10285,ord10285,"₹44,006.41",2026-07-13,CUST1285,issued
INV10286,ORD10286,12873.13,2026-07-02,CUST1286,issued
INV10287,ORD10287,51373.89,2026-07-07,CUST1287,issued
INV10288,ord10288,"2,563.49",2026-07-10,CUST1288,issued
INV10289,ORD10289,4188.37,2026-06-16,CUST1289,issued
INV10290,ORD10290,22845.37,2026-07-08,CUST1290,issued
INV10291,ORD10291,16682.73,2026-06-20,CUST1291,issued
INV10292,ORD10292,13092.72,2026-06-21,CUST1292,issued
INV10293,ORD10293,8704.99,2026-07-04,CUST1293,issued
INV10294,ORD10294,41582.69,2026-06-25,CUST1294,issued
INV10295,ORD10295,49854.15,2026-06-22,CUST1295,issued
INV10296,ORD10296,40910.48,2026-07-20,CUST1296,issued
INV10297,ORD10297,16314.06,2026-06-25,CUST1297,issued
INV10298,ORD10298,67481.34,2026-07-06,CUST1298,issued
INV10299,ORD10299,9501.20,2026-07-18,CUST1299,issued
INV10300,ORD10300,49348.36,2026-07-07,CUST1300,issued
INV10301,ORD10301,24145.68,2026-07-12,CUST1301,issued
INV10302,  ORD10302  ,"5,036.73",06-20-2026,CUST1302,issued
INV10303,ORD10303,67281.10,2026-06-01,CUST1303,issued
INV10304,ORD10304,67962.82,2026-06-05,CUST1304,issued
INV10305,ORD10305,30409.21,2026-07-08,CUST1305,issued
INV10306,ORD10306,41470.59,2026-07-10,CUST1306,issued
INV10307,ORD10307,19177.71,2026-06-26,CUST1307,issued
INV10308,ORD10308,67590.20,2026-07-27,CUST1308,issued
INV10309,ORD10309,15839.42,2026-07-27,CUST1309,issued
INV10310,ORD10310,74858.41,2026-07-09,CUST1310,issued
INV10311,ORD10311,69772.63,2026-07-13,CUST1311,issued
INV10312,ORD10312,38198.51,2026-07-14,CUST1312,issued
INV10313,ORD10313,71427.20,2026-07-23,CUST1313,issued
INV10314,ORD10314,19594.74,2026-06-02,CUST1314,issued
INV10315,ORD10315,10375.56,2026-07-14,CUST1315,issued
INV10316,ORD10316,38702.08,2026-06-27,CUST1316,issued
INV10317,ORD10317,44107.77,2026-06-14,CUST1317,issued
INV10318,ORD10318,73450.25,2026-07-23,CUST1318,issued
INV10319,OrD10319,36546.99,06-02-2026,CUST1319,issued
INV10320,  ORD10320  ,12690.34,04/06/2026,CUST1320,issued
INV10321,ORD10321,24203.80,2026-06-23,CUST1321,issued
INV10322,OrD10322,10485.07 INR,01/06/2026,CUST1322,issued
INV10323,ORD10323,24079.66,2026-06-24,CUST1323,issued
INV10324,ORD10324,8131.98,2026-07-22,CUST1324,issued
INV10325,ORD10325,37514.80,2026-06-11,CUST1325,issued
INV10326,  ORD10326  ,33294.81,06-26-2026,CUST1326,issued
INV10327,ORD10327,49655.72,2026-07-03,CUST1327,issued
INV10328,ORD10328,67809.55,2026-06-11,CUST1328,issued
INV10329,ORD10329,6469.63,2026-06-19,CUST1329,issued
INV10330,ord10330,"6,199.76",07-21-2026,CUST1330,issued
INV10331,ORD10331,66394.30,2026-06-02,CUST1331,issued
INV10332,ORD10332,49570.11,2026-06-24,CUST1332,issued
INV10333,ord10333,33158.45,17-Jun-2026,CUST1333,issued
INV10334,OrD10334,40637.88,13-Jul-2026,CUST1334,issued
INV10335,ORD10335,12927.01,2026-06-11,CUST1335,issued
INV10336,ORD10336,30386.30,2026-06-03,CUST1336,issued
INV10337,ORD10337,53086.24,2026-06-28,CUST1337,issued
INV10338,ORD10338,12683.58,2026-07-18,CUST1338,issued
INV10340,ORD10340,7563.43,2026-07-05,CUST1340,issued
INV10341,ORD10341,52075.19,2026-06-02,CUST1341,issued
INV10342,ORD10342,13976.63,2026-07-05,CUST1342,issued
INV10343,ORD10343,74795.39,2026-07-18,CUST1343,issued
INV10344,ORD10344,36589.06,2026-07-01,CUST1344,issued
INV10345,ORD10345,72567.95,2026-07-14,CUST1345,issued
INV10346,ORD10346,16301.95,2026-07-27,CUST1346,issued
INV10347,ORD10347,24919.55,2026-06-28,CUST1347,issued
INV10348,ORD10348,25100.08,2026-05-31,CUST1348,issued
INV10349,OrD10349,"₹20,522.75",06-17-2026,CUST1349,issued
INV10350,ORD10350,65473.73,2026-07-30,CUST1350,issued
INV10351,ORD10351,64004.92,2026-06-15,CUST1351,issued
INV10352,ORD10352,66286.32,2026-07-20,CUST1352,issued
INV10353,ORD10353,10257.94,2026-05-31,CUST1353,issued
INV10354,ORD10354,57948.85,2026-07-29,CUST1354,issued
INV10355,ORD10355,54526.45,2026-07-04,CUST1355,issued
INV10356,  ORD10356  ,"54,118.25",2026-07-28,CUST1356,issued
INV10357,ORD10357,3672.31,2026-06-29,CUST1357,issued
INV10358,OrD10358,"₹45,116.52",06-06-2026,CUST1358,issued
INV10359,ORD10359,48705.09,2026-06-25,CUST1359,issued
INV10360,ORD10360,47010.71,2026-06-21,CUST1360,issued
INV10361,ORD10361,2028.00,2026-06-19,CUST1361,issued
INV10362,ORD10362,11835.23,2026-06-01,CUST1362,issued
INV10363,ORD10363,25873.69,2026-07-13,CUST1363,issued
INV10364,ORD10364,57271.81,2026-07-19,CUST1364,issued
INV10365,ORD10365,39296.84,2026-07-29,CUST1365,issued
INV10367,ORD10367,10147.32,2026-06-02,CUST1367,issued
INV10369,ORD10369,26377.03,2026-07-14,CUST1369,issued
INV10370,ORD10370,67587.13,2026-06-23,CUST1370,issued
INV10371,ORD10371,5001.37,2026-07-12,CUST1371,issued
INV10372,ORD10372,28261.80,2026-07-28,CUST1372,issued
INV10373,ORD10373,19747.83,2026-06-26,CUST1373,issued
INV10374,ORD10374,22454.68,2026-07-01,CUST1374,issued
INV10375,ord10375,"61,729.95",06-17-2026,CUST1375,issued
INV10376,ORD10376,58508.13,2026-07-24,CUST1376,issued
INV10377,ORD10377,60396.03,2026-06-08,CUST1377,issued
INV10378,ORD10378,7406.37,2026-06-09,CUST1378,issued
INV10379,OrD10379,"₹66,158.15",07-28-2026,CUST1379,issued
INV10380,ORD10380,65905.05,2026-06-08,CUST1380,issued
INV10381,ORD10381,51435.75,2026-06-09,CUST1381,issued
INV10382,ORD10382,71797.24,2026-06-05,CUST1382,issued
INV10383,ORD10383,52798.34,2026-05-30,CUST1383,issued
INV10384,ORD10384,30668.37,2026-07-06,CUST1384,issued
INV10385,ORD10385,40843.32,2026-07-05,CUST1385,issued
INV10386,ORD10386,40545.76,2026-06-25,CUST1386,issued
INV10387,ORD10387,18007.95,2026-07-03,CUST1387,issued
INV10388,ORD10388,6602.31,2026-07-08,CUST1388,issued
INV10389,ORD10389,24395.53,2026-07-12,CUST1389,issued
INV10390,ORD10390,55990.86,2026-07-23,CUST1390,issued
INV10391,ORD10391,26704.71,2026-06-03,CUST1391,issued
INV10392,ORD10392,49851.76,2026-07-29,CUST1392,issued
INV10393,ORD10393,44252.88,2026-07-07,CUST1393,issued
INV10394,ORD10394,12768.05,2026-06-22,CUST1394,issued
INV10395,ORD10395,24215.03,2026-06-24,CUST1395,issued
INV10396,ORD10396,7799.94,2026-06-21,CUST1396,issued
INV10397,ORD10397,20698.52,2026-06-17,CUST1397,issued
INV10398,ORD10398,54827.86,2026-06-11,CUST1398,issued
INV10399,ORD10399,49553.83,2026-07-10,CUST1399,issued
INV10400,ORD10400,15143.88,2026-07-06,CUST1000,issued
INV10401,ORD10401,18213.19,2026-07-24,CUST1001,issued
INV10402,ORD10402,31793.61,2026-07-20,CUST1002,issued
INV10403,ORD10403,27601.36,2026-07-14,CUST1003,issued
INV10404,ORD10404,27989.46,2026-07-12,CUST1004,issued
INV10406,ORD10406,42305.36,2026-07-30,CUST1006,issued
INV10407,ORD10407,29881.33,2026-06-09,CUST1007,issued
INV10408,ORD10408,3140.04,2026-07-14,CUST1008,issued
INV10409,ORD10409,16631.07,2026-06-05,CUST1009,issued
INV10410,ORD10410,34125.39,2026-07-23,CUST1010,issued
INV10411,ORD10411,51857.01,2026-06-25,CUST1011,issued
INV10412,ORD10412,24104.59,2026-06-12,CUST1012,issued
INV10413,ORD10413,23546.74,2026-06-16,CUST1013,issued
INV10414,ORD10414,23082.83,2026-06-16,CUST1014,issued
INV10415,ORD10415,15642.22,2026-07-10,CUST1015,issued
INV10416,ORD10416,27493.04,2026-07-21,CUST1016,issued
INV10417,ORD10417,40027.61,2026-06-27,CUST1017,issued
INV10418,ORD10418,15121.21,2026-06-13,CUST1018,issued
INV10419,ORD10419,65866.82,2026-06-04,CUST1019,issued
INV10420,ORD10420,37336.47,2026-05-30,CUST1020,issued
INV10421,ORD10421,60164.46,2026-07-05,CUST1021,issued
INV10422,  ORD10422  ,"7,233.12",21/07/2026,CUST1022,issued
INV10423,ORD10423,22093.27,2026-06-14,CUST1023,issued
INV10424,ORD10424,41199.93,2026-06-14,CUST1024,issued
INV10425,ORD10425,28560.10,2026-07-11,CUST1025,issued
INV10426,ORD10426,54645.14,2026-06-28,CUST1026,issued
INV10427,ORD10427,74710.03,2026-07-31,CUST1027,issued
INV10428,  ORD10428  ,66715.53 INR,2026-07-29,CUST1028,issued
INV10429,ORD10429,25887.96,2026-07-30,CUST1029,issued
INV10430,ORD10430,36129.96,2026-06-20,CUST1030,issued
INV10431,ORD10431,34178.21,2026-07-18,CUST1031,issued
INV10432,ord10432,3066.91 INR,06/07/2026,CUST1032,issued
INV10433,OrD10433,"₹12,810.34",31-Jul-2026,CUST1033,issued
INV10434,ORD10434,40245.39,2026-06-07,CUST1034,issued
INV10435,ORD10435,71209.69,2026-06-17,CUST1035,issued
INV10436,OrD10436,"37,684.54",2026-07-26,CUST1036,issued
INV10437,  ORD10437  ,29555.73 INR,2026-07-04,CUST1037,issued
INV10438,ORD10438,46406.80,2026-07-13,CUST1038,issued
INV10439,ORD10439,906.36,2026-07-31,CUST1039,issued
INV10440,ORD10440,55058.23,2026-07-14,CUST1040,issued
INV10441,ORD10441,51484.12,2026-07-15,CUST1041,issued
INV10442,OrD10442,58466.59,27-Jul-2026,CUST1042,issued
