transaction_id,order_id,customer_id,amount,currency,transaction_date,payment_method,status
TXN10029,ORD10029,CUST1029,62005.63,USD,2026-07-01,upi,captured
TXN10030,ORD10030,CUST1030,39540.92,INR,2026-07-30,upi,captured
TXN10031,ORD10031,CUST1031,16037.21,INR,2026-07-03,netbanking,captured
TXN10032,ORD10032,CUST1032,68260.28,INR,2026-06-23,wallet,captured
txn10033,ord10033,CUST1033,"11,472.55",USD,2026-07-03,upi,captured
TXN10034,ORD10034,CUST1034,66253.76,INR,2026-06-04,card,captured
TXN10035,ORD10035,CUST1035,2187.15,USD,2026-07-28,upi,captured
TXN10036,ORD10036,CUST1036,38160.90,INR,2026-07-22,netbanking,captured
TXN10037,ORD10037,CUST1037,10371.37,INR,2026-06-08,upi,captured
TXN10038,ORD10038,CUST1038,50243.46,INR,2026-07-21,netbanking,captured
TXN10038,ORD10038,CUST1038,50243.46,INR,2026-07-21,netbanking,captured
TXN10039,ORD10039,CUST1039,72569.10,INR,2026-06-15,wallet,captured
TXN10040,ORD10040,CUST1040,12193.81,INR,2026-06-28,wallet,captured
  TXN10041  ,  ORD10041  ,CUST1041,7005.33,INR,2026-06-24,wallet,captured
TXN10042,ORD10042,CUST1042,20466.84,INR,2026-07-28,upi,captured
TXN10043,ORD10043,CUST1043,30505.49,INR,2026-07-05,netbanking,captured
TXN10044,ORD10044,CUST1044,31956.25,INR,2026-06-05,card,captured
TXN10045,ORD10045,CUST1045,64231.52,USD,2026-06-05,card,captured
TXN10046,ORD10046,CUST1046,69507.53,INR,2026-06-18,upi,captured
TXN10047,ORD10047,CUST1047,3873.44,INR,2026-06-13,upi,captured
TXN10048,ORD10048,CUST1048,50444.57,USD,2026-06-18,netbanking,captured
TXN10049,ORD10049,CUST1049,55007.72,INR,2026-07-06,upi,captured
TXN10050,ORD10050,CUST1050,49272.56,INR,2026-07-05,netbanking,captured
TXN10051,ORD10051,CUST1051,25768.58,INR,2026-07-24,upi,captured
TXN10052,ORD10052,CUST1052,73642.96,INR,2026-07-24,netbanking,captured
TXN10053,ORD10053,CUST1053,6427.92,INR,2026-07-24,netbanking,captured
TXN10054,ORD10054,CUST1054,3488.29,INR,2026-06-12,netbanking,captured
TXN10055,ORD10055,CUST1055,24332.69,USD,2026-06-03,netbanking,captured
TXN10056,ORD10056,CUST1056,28683.83,INR,2026-07-01,upi,captured
TXN10057,ORD10057,CUST1057,19886.23,INR,2026-06-06,wallet,captured
TXN10058,ORD10058,CUST1058,6427.76,INR,2026-07-04,wallet,captured
TXN10059,ORD10059,CUST1059,11294.79,INR,2026-07-17,wallet,captured
TXN10060,ORD10060,CUST1060,10534.14,USD,2026-07-04,card,captured
TXN10061,ORD10061,CUST1061,6473.37,INR,2026-06-03,card,captured
TXN10063,ORD10063,CUST1063,34325.44,INR,2026-06-05,card,captured
TXN10064,ORD10064,CUST1064,55955.02,INR,2026-07-01,netbanking,captured
TXN10065,ORD10065,CUST1065,17382.14,INR,2026-07-12,wallet,captured
TXN10066,ORD10066,CUST1066,57546.06,INR,2026-07-10,upi,captured
TxN10067,OrD10067,CUST1067,46624.19 INR,INR,2026-06-09,upi,captured
TXN10068,ORD10068,CUST1068,74498.20,INR,2026-07-06,wallet,captured
TXN10069,ORD10069,CUST1069,5827.17,INR,2026-07-03,netbanking,captured
TXN10070,ORD10070,CUST1070,5688.50,INR,2026-06-06,netbanking,captured
TXN10071,ORD10071,CUST1071,21039.64,USD,2026-06-08,wallet,captured
TXN10072,ORD10072,CUST1072,368.93,INR,2026-07-02,upi,captured
TXN10073,ORD10073,CUST1073,23774.25,INR,2026-07-24,netbanking,captured
TXN10074,ORD10074,CUST1074,53505.47,INR,2026-07-28,card,captured
TXN10075,ORD10075,CUST1075,5822.41,USD,2026-07-30,card,captured
TXN10076,ORD10076,CUST1076,62617.23,INR,2026-06-19,netbanking,captured
TXN10077,ORD10077,CUST1077,14319.69,INR,2026-06-24,card,captured
txn10078,ord10078,CUST1078,41237.19,USD,17-Jul-2026,upi,captured
TXN10079,ORD10079,CUST1079,25840.35,INR,2026-06-20,netbanking,captured
TXN10080,ORD10080,CUST1080,22632.64,INR,2026-07-06,upi,captured
TXN10081,ORD10081,CUST1081,67956.40,USD,2026-07-02,netbanking,captured
TxN10082,OrD10082,CUST1082,"₹41,129.12",INR,06-16-2026,upi,captured
TXN10083,ORD10083,CUST1083,15829.37,USD,2026-06-18,netbanking,captured
TXN10084,ORD10084,CUST1084,51537.81,INR,2026-07-04,upi,captured
TXN10085,ORD10085,CUST1085,30041.81,INR,2026-06-29,card,captured
TXN10086,ORD10086,CUST1086,53242.43,INR,2026-07-28,wallet,captured
TXN10087,ORD10087,CUST1087,11662.94,INR,2026-07-04,wallet,captured
TXN10088,ORD10088,CUST1088,202.32,INR,2026-06-09,,captured
TXN10089,ORD10089,CUST1089,39666.16,INR,2026-06-28,card,captured
TXN10090,ORD10090,CUST1090,14458.46,USD,2026-06-17,card,captured
TXN10091,ORD10091,CUST1091,71924.60,INR,2026-07-12,upi,captured
TXN10092,ORD10092,CUST1092,72050.01,INR,2026-07-16,upi,captured
TXN10093,ORD10093,CUST1093,6173.80,INR,2026-06-15,upi,captured
TXN10094,ORD10094,CUST1094,53903.08,INR,2026-06-24,netbanking,captured
TXN10095,ORD10095,CUST1095,15470.87,INR,2026-06-13,upi,captured
TXN10095B,ORD10095,CUST1095,15470.87,INR,2026-06-14,netbanking,captured
TXN10096,ORD10096,CUST1096,8264.70,INR,2026-07-10,upi,captured
TXN10097,ORD10097,CUST1097,71162.22,INR,2026-06-10,card,captured
TXN10098,ORD10098,CUST1098,3982.86,INR,2026-06-04,netbanking,captured
TXN10099,ORD10099,CUST1099,69876.50,INR,2026-06-22,wallet,captured
TXN10100,ORD10100,CUST1100,62950.61,INR,2026-06-22,card,captured
TXN10101,ORD10101,CUST1101,31571.72,INR,2026-07-27,upi,captured
TXN10102,ORD10102,CUST1102,68971.03,USD,2026-06-13,wallet,captured
TXN10103,ORD10103,CUST1103,18676.18,INR,2026-07-11,card,captured
  TXN10104  ,  ORD10104  ,CUST1104,19350.49 INR,INR,07-18-2026,netbanking,captured
TXN10105,ORD10105,CUST1105,61968.77,INR,2026-06-07,wallet,captured
TXN10106,ORD10106,CUST1106,45583.34,INR,2026-06-21,card,captured
TXN10107,ORD10107,CUST1107,56491.14,INR,2026-06-16,wallet,captured
TXN10108,ORD10108,CUST1108,12135.86,INR,2026-06-28,netbanking,captured
TXN10109,ORD10109,CUST1109,7322.05,INR,2026-07-02,upi,captured
TXN10110,ORD10110,CUST1110,34623.19,INR,2026-07-28,card,captured
TXN10111,ORD10111,CUST1111,21026.83,INR,2026-06-18,upi,captured
TXN10112,ORD10112,CUST1112,14011.66,INR,2026-06-16,upi,captured
TXN10113,ORD10113,CUST1113,74434.41,INR,2026-07-03,card,captured
TXN10114,ORD10114,CUST1114,7764.70,INR,2026-07-01,wallet,captured
TXN10115,ORD10115,CUST1115,17543.66,INR,2026-06-04,upi,captured
TXN10116,ORD10116,CUST1116,64972.94,USD,2026-06-29,card,captured
TXN10116,ORD10116,CUST1116,64972.94,USD,2026-06-29,card,captured
TXN10117,ORD10117,CUST1117,53256.99,USD,2026-06-23,upi,captured
TXN10118,ORD10118,CUST1118,2963.88,INR,2026-07-17,card,captured
  TXN10119  ,  ORD10119  ,CUST1119,13967.37,INR,20-Jun-2026,card,captured
TXN10120,ORD10120,CUST1120,52185.90,INR,2026-06-27,wallet,captured
TXN10121,ORD10121,CUST1121,66288.75,USD,2026-06-27,netbanking,captured
TXN10122,ORD10122,CUST1122,15354.67,INR,2026-06-01,,captured
TXN10123,ORD10123,CUST1123,66224.56,USD,2026-06-30,card,captured
TXN10124,ORD10124,CUST1124,6768.43,INR,2026-07-10,upi,captured
TXN10125,ORD10125,CUST1125,21318.80,INR,2026-07-04,wallet,captured
txn10126,ord10126,CUST1126,9586.11 INR,INR,2026-07-31,wallet,captured
TXN10127,ORD10127,CUST1127,16438.45,USD,2026-06-26,netbanking,captured
TXN10128,ORD10128,CUST1128,72804.85,INR,2026-07-23,card,captured
TXN10129,ORD10129,CUST1129,29298.76,INR,2026-06-30,netbanking,captured
TXN10130,ORD10130,CUST1130,43738.59,INR,2026-06-28,wallet,captured
TXN10131,ORD10131,CUST1131,46455.00,INR,2026-07-02,wallet,captured
TXN10132,ORD10132,CUST1132,8120.00,INR,2026-06-09,wallet,captured
TxN10133,OrD10133,CUST1133,"₹3,144.81",INR,2026-06-09,wallet,captured
  TXN10134  ,  ORD10134  ,CUST1134,54933.12,USD,07-23-2026,upi,captured
TXN10135,ORD10135,CUST1135,20696.95,USD,2026-07-23,wallet,captured
TXN10136,ORD10136,CUST1136,46228.38,INR,2026-06-16,upi,captured
TXN10137,ORD10137,CUST1137,51008.03,INR,2026-07-28,netbanking,captured
TXN10137,ORD10137,CUST1137,51008.03,INR,2026-07-28,netbanking,captured
TXN10138,ORD10138,CUST1138,47760.27,INR,2026-06-24,card,captured
TXN10139,ORD10139,CUST1139,55370.44,INR,2026-06-24,upi,captured
TXN10140,ORD10140,CUST1140,33226.89,INR,2026-06-12,netbanking,captured
TXN10141,ORD10141,CUST1141,16700.65,INR,2026-06-19,netbanking,captured
TxN10142,OrD10142,CUST1142,17121.75 INR,INR,07-12-2026,card,captured
TXN10143,ORD10143,CUST1143,27530.97,INR,2026-07-24,upi,captured
TXN10144,ORD10144,CUST1144,7275.77,INR,2026-07-11,netbanking,captured
TXN10145,ORD10145,CUST1145,4304.18,INR,2026-07-23,wallet,captured
  TXN10146  ,  ORD10146  ,CUST1146,"₹18,712.43",INR,28-Jul-2026,upi,captured
TXN10147,ORD10147,CUST1147,31047.05,INR,2026-07-04,wallet,captured
TXN10148,ORD10148,CUST1148,23272.75,USD,2026-06-20,wallet,captured
TXN10149,ORD10149,CUST1149,28199.39,INR,2026-06-28,wallet,captured
txn10150,ord10150,CUST1150,19680.86 INR,INR,2026-07-12,netbanking,captured
TXN10151,ORD10151,CUST1151,19601.61,INR,2026-06-16,upi,captured
TXN10152,ORD10152,CUST1152,66024.34,INR,2026-06-22,wallet,captured
TXN10153,ORD10153,CUST1153,64328.45,INR,2026-06-28,netbanking,captured
TXN10154,ORD10154,CUST1154,43941.39,USD,2026-07-07,card,captured
txn10156,ord10156,CUST1156,"₹51,977.63",INR,2026-07-11,netbanking,captured
TXN10157,ORD10157,CUST1157,2636.16,INR,2026-07-31,card,captured
TXN10157B,ORD10157,CUST1157,2636.16,INR,2026-08-01,netbanking,captured
TXN10158,ORD10158,CUST1158,7580.79,INR,2026-06-07,netbanking,captured
TXN10159,ORD10159,CUST1159,19660.86,INR,2026-06-23,netbanking,captured
TXN10160,ORD10160,CUST1160,35758.60,USD,2026-06-19,wallet,captured
TXN10161,ORD10161,CUST1161,57999.64,USD,2026-06-23,upi,captured
TXN10162,ORD10162,CUST1162,61503.86,USD,2026-06-11,netbanking,captured
TXN10163,ORD10163,CUST1163,36862.64,INR,2026-07-02,wallet,captured
TXN10163B,ORD10163,CUST1163,36862.64,INR,2026-07-03,netbanking,captured
TXN10164,ORD10164,CUST1164,70795.85,USD,2026-06-19,upi,captured
txn10165,ord10165,CUST1165,"₹70,409.48",INR,07-20-2026,netbanking,captured
txn10165,ord10165,CUST1165,"₹70,409.48",INR,07-20-2026,netbanking,captured
TXN10166,ORD10166,CUST1166,15538.15,INR,2026-06-17,upi,captured
TXN10167,ORD10167,CUST1167,70799.61,INR,2026-06-09,card,captured
TXN10168,ORD10168,CUST1168,24566.85,USD,2026-06-10,netbanking,captured
TXN10169,ORD10169,CUST1169,51710.70,INR,2026-06-17,wallet,captured
TXN10171,ORD10171,CUST1171,73110.07,INR,2026-07-17,upi,captured
TXN10172,ORD10172,CUST1172,19475.74,INR,2026-07-17,card,captured
TXN10173,ORD10173,CUST1173,73789.08,INR,2026-07-21,netbanking,captured
TXN10174,ORD10174,CUST1174,21132.25,INR,2026-07-27,wallet,captured
TXN10175,ORD10175,CUST1175,37586.44,INR,2026-07-11,netbanking,captured
TXN10176,ORD10176,CUST1176,513.27,INR,2026-06-16,wallet,captured
TXN10177,ORD10177,CUST1177,63948.05,USD,2026-07-14,wallet,captured
TXN10179,ORD10179,CUST1179,63723.17,INR,2026-07-01,wallet,captured
TXN10180,ORD10180,CUST1180,67097.63,INR,2026-06-21,wallet,captured
TXN10181,ORD10181,CUST1181,40797.66,INR,2026-06-11,upi,captured
TXN10182,ORD10182,CUST1182,25779.60,USD,2026-07-18,upi,captured
TXN10183,ORD10183,CUST1183,54710.08,INR,2026-07-10,netbanking,captured
TXN10184,ORD10184,CUST1184,1096.79,INR,2026-06-27,netbanking,captured
TXN10185,ORD10185,CUST1185,16909.60,INR,2026-07-18,upi,captured
TXN10186,ORD10186,CUST1186,54080.79,USD,2026-07-23,wallet,captured
TXN10187,ORD10187,CUST1187,48755.60,USD,2026-07-20,upi,captured
TXN10188,ORD10188,CUST1188,51590.12,INR,2026-06-28,netbanking,captured
TXN10189,ORD10189,CUST1189,24092.01,INR,2026-07-02,netbanking,captured
TXN10190,ORD10190,CUST1190,4374.01,INR,2026-07-23,upi,captured
TXN10191,ORD10191,CUST1191,1222.44,USD,2026-06-01,netbanking,captured
TXN10192,ORD10192,CUST1192,43428.68,INR,2026-07-25,netbanking,captured
TXN10192,ORD10192,CUST1192,43428.68,INR,2026-07-25,netbanking,captured
TXN10194,ORD10194,CUST1194,59126.73,USD,2026-07-24,upi,captured
TXN10195,ORD10195,CUST1195,50375.02,INR,2026-06-08,upi,captured
TXN10196,ORD10196,CUST1196,41834.51,INR,2026-07-01,wallet,captured
TXN10197,ORD10197,CUST1197,40511.75,INR,2026-07-26,netbanking,captured
TXN10198,ORD10198,CUST1198,37370.73,USD,2026-06-19,wallet,captured
TXN10199,ORD10199,CUST1199,47814.36,INR,2026-07-11,card,captured
TXN10200,ORD10200,CUST1200,60664.11,INR,2026-06-07,upi,captured
txn10201,ord10201,CUST1201,46933.31 INR,INR,22-Jun-2026,upi,captured
TXN10202,ORD10202,CUST1202,41596.67,INR,2026-07-23,wallet,captured
TXN10203,ORD10203,CUST1203,73823.08,USD,2026-07-26,wallet,captured
TXN10204,ORD10204,CUST1204,23850.34,INR,2026-06-20,card,captured
TXN10205,ORD10205,CUST1205,66431.54,USD,2026-07-05,card,captured
TXN10206,ORD10206,CUST1206,61664.90,INR,2026-07-01,wallet,captured
TXN10207,ORD10207,CUST1207,65736.54,USD,2026-06-06,wallet,captured
TxN10208,OrD10208,CUST1208,"₹49,805.11",INR,07-26-2026,upi,captured
TxN10208,OrD10208,CUST1208,"₹49,805.11",INR,07-26-2026,upi,captured
TXN10209,ORD10209,CUST1209,32357.56,INR,2026-07-12,wallet,captured
TXN10210,ORD10210,CUST1210,61874.24,INR,2026-07-20,wallet,captured
TXN10211,ORD10211,CUST1211,44580.32,INR,2026-07-31,wallet,captured
TXN10212,ORD10212,CUST1212,48373.49,INR,2026-06-14,wallet,captured
txn10213,ord10213,CUST1213,"73,999.95",INR,25-Jul-2026,card,captured
TXN10214,ORD10214,CUST1214,22056.43,INR,2026-07-06,netbanking,captured
TXN10216,ORD10216,CUST1216,23398.59,INR,2026-07-17,wallet,captured
TXN10217,ORD10217,CUST1217,71546.55,INR,2026-06-11,wallet,captured
  TXN10218  ,  ORD10218  ,CUST1218,25108.03 INR,USD,2026-06-18,upi,captured
TXN10219,ORD10219,CUST1219,57881.26,USD,2026-06-15,card,captured
TXN10220,ORD10220,CUST1220,31745.25,INR,2026-07-08,card,captured
TXN10220,ORD10220,CUST1220,31745.25,INR,2026-07-08,card,captured
TXN10221,ORD10221,CUST1221,11110.23,USD,2026-07-25,wallet,captured
TXN10222,ORD10222,CUST1222,40544.59,INR,2026-07-02,upi,captured
TXN10223,ORD10223,CUST1223,50856.88,INR,2026-06-30,card,captured
TXN10224,ORD10224,CUST1224,6668.80,USD,2026-07-22,wallet,captured
TXN10225,ORD10225,CUST1225,66393.54,INR,2026-07-04,upi,captured
TXN10226,ORD10226,CUST1226,7004.91,INR,2026-07-22,netbanking,captured
TXN10227,ORD10227,CUST1227,18548.23,INR,2026-07-30,card,captured
TXN10228,ORD10228,CUST1228,59072.33,INR,2026-06-10,netbanking,captured
TXN10229,ORD10229,CUST1229,7146.95,INR,2026-06-14,wallet,captured
TXN10230,ORD10230,CUST1230,69419.60,INR,2026-06-18,upi,captured
TXN10231,ORD10231,CUST1231,15154.08,INR,2026-06-12,card,captured
TXN10232,ORD10232,CUST1232,36563.98,INR,2026-07-25,wallet,captured
TXN10233,ORD10233,CUST1233,19363.81,INR,2026-07-07,wallet,captured
TXN10234,ORD10234,CUST1234,27881.24,INR,2026-06-16,card,captured
TxN10235,OrD10235,CUST1235,67716.31 INR,INR,28-Jul-2026,card,captured
TXN10236,ORD10236,CUST1236,44400.75,USD,2026-07-19,netbanking,captured
TXN10237,ORD10237,CUST1237,28186.24,INR,2026-06-25,upi,captured
TXN10238,ORD10238,CUST1238,53820.28,INR,2026-06-13,upi,captured
TXN10239,ORD10239,CUST1239,N/A,INR,2026-06-09,wallet,captured
TXN10240,ORD10240,CUST1240,16701.65,INR,2026-06-04,upi,captured
TXN10241,ORD10241,CUST1241,31427.90,INR,2026-06-16,netbanking,captured
TXN10242,ORD10242,CUST1242,36876.42,INR,2026-06-21,upi,captured
TXN10243,ORD10243,CUST1243,42039.69,INR,2026-07-24,upi,captured
TXN10244,ORD10244,CUST1244,74856.61,INR,2026-07-30,wallet,captured
  TXN10245  ,  ORD10245  ,CUST1245,10911.90 INR,INR,11/07/2026,wallet,captured
TXN10245B,ORD10245,CUST1245,10911.90,INR,2026-07-12,upi,captured
TXN10246,ORD10246,CUST1246,42893.35,INR,2026-06-09,upi,captured
TxN10247,OrD10247,CUST1247,45088.83,INR,07-24-2026,upi,captured
TXN10248,ORD10248,CUST1248,38932.59,INR,2026-06-23,wallet,captured
TXN10249,ORD10249,CUST1249,10082.82,INR,2026-07-13,netbanking,captured
TxN10250,OrD10250,CUST1250,43161.49,INR,2026-07-25,card,captured
TXN10251,ORD10251,CUST1251,33538.27,INR,2026-06-02,card,captured
txn10252,ord10252,CUST1252,"₹46,469.02",INR,2026-06-11,card,captured
TxN10253,OrD10253,CUST1253,7804.56 INR,INR,2026-07-26,wallet,captured
TXN10254,ORD10254,CUST1254,44426.73,USD,2026-07-26,wallet,captured
TXN10255,ORD10255,CUST1255,71119.76,INR,2026-06-02,wallet,captured
TxN10256,OrD10256,CUST1256,2811.93,USD,31/07/2026,netbanking,captured
TXN10257,ORD10257,CUST1257,18771.40,INR,2026-06-28,card,captured
TXN10258,ORD10258,CUST1258,24393.83,INR,2026-06-13,upi,captured
TXN10259,ORD10259,CUST1259,47527.54,INR,2026-07-22,card,captured
TXN10260,ORD10260,CUST1260,20006.32,USD,2026-07-14,card,captured
TXN10261,ORD10261,CUST1261,9215.30,INR,2026-06-01,netbanking,captured
TXN10262,ORD10262,CUST1262,35034.65,INR,2026-07-05,upi,captured
TXN10263,ORD10263,CUST1263,21694.21,USD,2026-06-16,netbanking,captured
TXN10264,ORD10264,CUST1264,52143.11,USD,2026-06-15,netbanking,captured
TXN10265,ORD10265,CUST1265,45998.70,INR,2026-07-01,netbanking,captured
TXN10266,ORD10266,CUST1266,40989.08,USD,2026-07-08,upi,captured
TXN10267,ORD10267,CUST1267,24478.28,USD,2026-06-18,netbanking,captured
TXN10268,ORD10268,CUST1268,41379.53,INR,2026-07-09,card,captured
  TXN10269  ,  ORD10269  ,CUST1269,"26,623.09",INR,19-Jul-2026,netbanking,captured
TXN10270,ORD10270,CUST1270,20224.33,INR,2026-07-11,upi,captured
TXN10271,ORD10271,CUST1271,30840.30,INR,2026-07-06,upi,captured
TXN10273,ORD10273,CUST1273,22039.62,INR,2026-06-26,netbanking,captured
TXN10274,ORD10274,CUST1274,33357.91,INR,2026-06-12,wallet,captured
TXN10274B,ORD10274,CUST1274,33357.91,INR,2026-06-13,upi,captured
TXN10275,ORD10275,CUST1275,61640.69,INR,2026-06-22,upi,captured
TXN10276,ORD10276,CUST1276,2015.58,INR,2026-06-17,netbanking,captured
TXN10277,ORD10277,CUST1277,38856.85,INR,2026-07-04,wallet,captured
TXN10278,ORD10278,CUST1278,50749.36,USD,2026-06-29,upi,captured
TXN10279,ORD10279,CUST1279,37618.07,INR,2026-07-12,upi,captured
TXN10280,ORD10280,CUST1280,67446.57,USD,2026-07-08,card,captured
TXN10281,ORD10281,CUST1281,27562.66,INR,2026-06-05,card,captured
TXN10282,ORD10282,CUST1282,61559.54,INR,2026-07-03,upi,captured
TXN10283,ORD10283,CUST1283,15663.79,USD,2026-07-28,card,captured
TXN10284,ORD10284,CUST1284,51911.26,INR,2026-06-01,card,captured
txn10285,ord10285,CUST1285,44006.41 INR,INR,13/07/2026,upi,captured
TXN10286,ORD10286,CUST1286,12873.13,INR,2026-07-04,wallet,captured
txn10288,ord10288,CUST1288,"₹2,563.49",INR,07-11-2026,upi,captured
TXN10289,ORD10289,CUST1289,4188.37,INR,2026-06-16,upi,captured
TXN10290,ORD10290,CUST1290,22845.37,INR,2026-07-09,card,captured
TXN10292,ORD10292,CUST1292,13092.72,INR,2026-06-23,netbanking,captured
TXN10293,ORD10293,CUST1293,8704.99,INR,2026-07-05,card,captured
TXN10294,ORD10294,CUST1294,41582.69,INR,2026-06-25,upi,captured
TXN10295,ORD10295,CUST1295,49854.15,INR,2026-06-22,upi,captured
TXN10296,ORD10296,CUST1296,40910.48,INR,2026-07-21,upi,captured
TXN10297,ORD10297,CUST1297,16314.06,INR,2026-06-26,upi,captured
TXN10298,ORD10298,CUST1298,67481.34,USD,2026-07-08,wallet,captured
TXN10299,ORD10299,CUST1299,9501.20,INR,2026-07-19,netbanking,captured
TXN10300,ORD10300,CUST1300,49348.36,INR,2026-07-07,card,captured
TXN10301,ORD10301,CUST1301,24145.68,INR,2026-07-13,netbanking,captured
  TXN10302  ,  ORD10302  ,CUST1302,5036.73,INR,06-20-2026,netbanking,captured
TXN10304,ORD10304,CUST1304,67962.82,INR,2026-06-07,,captured
TXN10305,ORD10305,CUST1305,30409.21,INR,2026-07-09,netbanking,captured
TXN10306,ORD10306,CUST1306,41470.59,INR,2026-07-11,upi,captured
TXN10307,ORD10307,CUST1307,19177.71,USD,2026-06-28,card,captured
TXN10308,ORD10308,CUST1308,67590.20,INR,2026-07-27,card,captured
TXN10309,ORD10309,CUST1309,15839.42,INR,2026-07-29,wallet,captured
TXN10310,ORD10310,CUST1310,74858.41,INR,2026-07-10,card,captured
TXN10312,ORD10312,CUST1312,38198.51,INR,2026-07-14,upi,captured
TXN10313,ORD10313,CUST1313,71427.20,INR,2026-07-23,upi,captured
TXN10314,ORD10314,CUST1314,19594.74,USD,2026-06-04,card,captured
TXN10315,ORD10315,CUST1315,10375.56,INR,2026-07-14,upi,captured
TXN10316,ORD10316,CUST1316,38702.08,INR,2026-06-29,netbanking,captured
TXN10317,ORD10317,CUST1317,44107.77,INR,2026-06-16,wallet,captured
TXN10317B,ORD10317,CUST1317,44107.77,INR,2026-06-17,upi,captured
TXN10318,ORD10318,CUST1318,73450.25,USD,2026-07-24,card,captured
TXN10318B,ORD10318,CUST1318,73450.25,USD,2026-07-25,card,captured
TxN10319,OrD10319,CUST1319,"36,546.99",INR,2026-06-03,netbanking,captured
  TXN10320  ,  ORD10320  ,CUST1320,12690.34,INR,2026-06-05,netbanking,captured
TXN10321,ORD10321,CUST1321,24203.80,USD,2026-06-23,netbanking,captured
TxN10322,OrD10322,CUST1322,N/A,INR,06-02-2026,netbanking,captured
TXN10323,ORD10323,CUST1323,24079.66,INR,2026-06-24,netbanking,captured
TXN10324,ORD10324,CUST1324,8131.98,INR,2026-07-22,wallet,captured
TXN10324B,ORD10324,CUST1324,8131.98,INR,2026-07-23,wallet,captured
TXN10325,ORD10325,CUST1325,37514.80,INR,2026-06-11,card,captured
  TXN10326  ,  ORD10326  ,CUST1326,33294.81,INR,26-Jun-2026,upi,captured
TXN10327,ORD10327,CUST1327,49655.72,INR,2026-07-03,card,captured
TXN10328,ORD10328,CUST1328,67809.55,INR,2026-06-11,netbanking,captured
TXN10329,ORD10329,CUST1329,6469.63,INR,2026-06-21,upi,captured
txn10330,ord10330,CUST1330,6199.76 INR,USD,22-Jul-2026,netbanking,captured
TXN10331,ORD10331,CUST1331,66394.30,USD,2026-06-02,wallet,captured
TXN10332,ORD10332,CUST1332,49570.11,INR,2026-06-24,netbanking,captured
txn10333,ord10333,CUST1333,"33,158.45",USD,2026-06-17,upi,captured
TxN10334,OrD10334,CUST1334,"₹40,637.88",INR,15-Jul-2026,card,captured
TXN10335,ORD10335,CUST1335,12927.01,USD,2026-06-13,upi,captured
TXN10335,ORD10335,CUST1335,12927.01,USD,2026-06-13,upi,captured
TXN10336,ORD10336,CUST1336,30386.30,INR,2026-06-04,upi,captured
TXN10337,ORD10337,CUST1337,53086.24,INR,2026-06-28,upi,captured
TXN10338,ORD10338,CUST1338,12683.58,INR,2026-07-18,card,captured
TXN10338B,ORD10338,CUST1338,12683.58,INR,2026-07-19,upi,captured
TXN10339,ORD10339,CUST1339,38537.25,INR,2026-07-04,card,captured
