order_id,transaction_id,scenario,is_dirty_formatting
ORD10045,TXN10045,CLEAN,False
ORD10046,TXN10046,CLEAN,False
ORD10047,TXN10047,MISSING_SETTLEMENT,False
ORD10048,TXN10048,CLEAN,False
ORD10049,TXN10049,CLEAN,False
ORD10050,TXN10050,CLEAN,False
ORD10051,TXN10051,MISSING_INVOICE,False
ORD10052,TXN10052,CLEAN,False
ORD10053,TXN10053,CLEAN,False
ORD10054,TXN10054,CLEAN,False
ORD10055,TXN10055,CLEAN,False
ORD10056,TXN10056,MISSING_SETTLEMENT,False
ORD10057,TXN10057,AMOUNT_MISMATCH,False
ORD10058,TXN10058,CLEAN,False
ORD10059,TXN10059,CLEAN,False
ORD10060,TXN10060,AMOUNT_MISMATCH,False
ORD10061,TXN10061,CLEAN,False
ORD10062,TXN10062,MISSING_PAYMENT,False
ORD10063,TXN10063,CLEAN,False
ORD10064,TXN10064,CLEAN,False
ORD10065,TXN10065,CLEAN,False
ORD10066,TXN10066,CLEAN,False
ORD10067,TXN10067,CLEAN,True
ORD10068,TXN10068,PARTIAL_SETTLEMENT,False
ORD10069,TXN10069,CLEAN,False
ORD10070,TXN10070,CLEAN,False
ORD10071,TXN10071,CLEAN,False
ORD10072,TXN10072,CLEAN,False
ORD10073,TXN10073,CLEAN,False
ORD10074,TXN10074,CLEAN,False
ORD10075,TXN10075,CLEAN,False
ORD10076,TXN10076,CLEAN,False
ORD10077,TXN10077,CLEAN,False
ORD10078,TXN10078,UNEXPECTED_FEE,True
ORD10079,TXN10079,MISSING_INVOICE,False
ORD10080,TXN10080,CLEAN,False
ORD10081,TXN10081,CLEAN,False
ORD10082,TXN10082,CLEAN,True
ORD10083,TXN10083,CLEAN,False
ORD10084,TXN10084,DATE_MISMATCH,False
ORD10085,TXN10085,CLEAN,False
ORD10086,TXN10086,INVALID_REFERENCE,False
ORD10087,TXN10087,CLEAN,False
ORD10088,TXN10088,CURRENCY_MISMATCH,False
ORD10089,TXN10089,CLEAN,False
ORD10090,TXN10090,AMOUNT_MISMATCH,False
ORD10091,TXN10091,CLEAN,False
ORD10092,TXN10092,CLEAN,False
ORD10093,TXN10093,UNEXPECTED_FEE,False
ORD10094,TXN10094,CLEAN,False
ORD10095,TXN10095,POSSIBLE_DUPLICATE,False
ORD10096,TXN10096,CLEAN,False
ORD10097,TXN10097,CLEAN,False
ORD10098,TXN10098,CLEAN,False
ORD10099,TXN10099,MISSING_SETTLEMENT,False
ORD10100,TXN10100,CLEAN,False
ORD10101,TXN10101,INVALID_REFERENCE,False
ORD10102,TXN10102,MISSING_INVOICE,False
ORD10103,TXN10103,CLEAN,False
ORD10104,TXN10104,AMOUNT_MISMATCH,True
ORD10105,TXN10105,INVALID_REFERENCE,False
ORD10106,TXN10106,CLEAN,False
ORD10107,TXN10107,MISSING_SETTLEMENT,False
ORD10108,TXN10108,PARTIAL_SETTLEMENT,False
ORD10109,TXN10109,PARTIAL_SETTLEMENT,False
ORD10110,TXN10110,MISSING_INVOICE,False
ORD10111,TXN10111,MISSING_INVOICE,False
ORD10112,TXN10112,DATE_MISMATCH,False
ORD10113,TXN10113,MISSING_SETTLEMENT,False
ORD10114,TXN10114,CLEAN,False
ORD10115,TXN10115,PARTIAL_SETTLEMENT,False
ORD10116,TXN10116,DUPLICATE_TRANSACTION,False
ORD10117,TXN10117,CLEAN,False
ORD10118,TXN10118,CLEAN,False
ORD10119,TXN10119,CLEAN,True
ORD10120,TXN10120,MISSING_SETTLEMENT,False
ORD10121,TXN10121,DATE_MISMATCH,False
ORD10122,TXN10122,CLEAN,False
ORD10123,TXN10123,CLEAN,False
ORD10124,TXN10124,MISSING_INVOICE,False
ORD10125,TXN10125,CLEAN,False
ORD10126,TXN10126,CURRENCY_MISMATCH,True
ORD10127,TXN10127,CLEAN,False
ORD10128,TXN10128,CLEAN,False
ORD10129,TXN10129,MISSING_SETTLEMENT,False
ORD10130,TXN10130,CLEAN,False
ORD10131,TXN10131,CLEAN,False
ORD10132,TXN10132,CLEAN,False
ORD10133,TXN10133,MISSING_INVOICE,True
ORD10134,TXN10134,CLEAN,True
ORD10135,TXN10135,CLEAN,False
ORD10136,TXN10136,CLEAN,False
ORD10137,TXN10137,DUPLICATE_TRANSACTION,False
ORD10138,TXN10138,CLEAN,False
ORD10139,TXN10139,PARTIAL_SETTLEMENT,False
ORD10140,TXN10140,INVALID_REFERENCE,False
ORD10141,TXN10141,CLEAN,False
ORD10142,TXN10142,CLEAN,True
ORD10143,TXN10143,CLEAN,False
ORD10144,TXN10144,MISSING_SETTLEMENT,False
ORD10145,TXN10145,CLEAN,False
ORD10146,TXN10146,CLEAN,True
ORD10147,TXN10147,CLEAN,False
ORD10148,TXN10148,PARTIAL_SETTLEMENT,False
ORD10149,TXN10149,CLEAN,False
ORD10150,TXN10150,CLEAN,True
ORD10151,TXN10151,CLEAN,False
ORD10152,TXN10152,CLEAN,False
ORD10153,TXN10153,CLEAN,False
ORD10154,TXN10154,CLEAN,False
ORD10155,TXN10155,MISSING_PAYMENT,False
ORD10156,TXN10156,CLEAN,True
ORD10157,TXN10157,POSSIBLE_DUPLICATE,False
ORD10158,TXN10158,MISSING_SETTLEMENT,False
ORD10159,TXN10159,CLEAN,False
ORD10160,TXN10160,CLEAN,False
ORD10161,TXN10161,CLEAN,False
ORD10162,TXN10162,CLEAN,False
ORD10163,TXN10163,POSSIBLE_DUPLICATE,False
ORD10164,TXN10164,UNEXPECTED_FEE,False
ORD10165,TXN10165,DUPLICATE_TRANSACTION,True
ORD10166,TXN10166,CLEAN,False
ORD10167,TXN10167,MISSING_INVOICE,False
ORD10168,TXN10168,CLEAN,False
ORD10169,TXN10169,CLEAN,False
ORD10170,TXN10170,MISSING_PAYMENT,False
ORD10171,TXN10171,CLEAN,False
ORD10172,TXN10172,CLEAN,False
ORD10173,TXN10173,CLEAN,False
ORD10174,TXN10174,CLEAN,False
ORD10175,TXN10175,CLEAN,False
ORD10176,TXN10176,CLEAN,False
ORD10177,TXN10177,CLEAN,False
ORD10178,TXN10178,MISSING_PAYMENT,False
ORD10179,TXN10179,MISSING_SETTLEMENT,False
ORD10180,TXN10180,CLEAN,False
ORD10181,TXN10181,INVALID_REFERENCE,False
ORD10182,TXN10182,CLEAN,False
ORD10183,TXN10183,CLEAN,False
ORD10184,TXN10184,MISSING_SETTLEMENT,False
ORD10185,TXN10185,INVALID_REFERENCE,False
ORD10186,TXN10186,CLEAN,False
ORD10187,TXN10187,CLEAN,False
ORD10188,TXN10188,CLEAN,False
ORD10189,TXN10189,MISSING_SETTLEMENT,False
ORD10190,TXN10190,CLEAN,False
ORD10191,TXN10191,CLEAN,False
ORD10192,TXN10192,DUPLICATE_TRANSACTION,False
ORD10193,TXN10193,MISSING_PAYMENT,False
ORD10194,TXN10194,CLEAN,False
ORD10195,TXN10195,CLEAN,False
ORD10196,TXN10196,CLEAN,False
ORD10197,TXN10197,CLEAN,False
ORD10198,TXN10198,CLEAN,False
ORD10199,TXN10199,CLEAN,False
ORD10200,TXN10200,CLEAN,False
ORD10201,TXN10201,MISSING_SETTLEMENT,True
ORD10202,TXN10202,CLEAN,False
ORD10203,TXN10203,PARTIAL_SETTLEMENT,False
ORD10204,TXN10204,PARTIAL_SETTLEMENT,False
ORD10205,TXN10205,CLEAN,False
ORD10206,TXN10206,MISSING_SETTLEMENT,False
ORD10207,TXN10207,MISSING_SETTLEMENT,False
ORD10208,TXN10208,DUPLICATE_TRANSACTION,True
ORD10209,TXN10209,CURRENCY_MISMATCH,False
ORD10210,TXN10210,AMOUNT_MISMATCH,False
ORD10211,TXN10211,CLEAN,False
ORD10212,TXN10212,MISSING_SETTLEMENT,False
ORD10213,TXN10213,DATE_MISMATCH,True
ORD10214,TXN10214,CLEAN,False
ORD10215,TXN10215,MISSING_PAYMENT,False
ORD10216,TXN10216,INVALID_REFERENCE,False
ORD10217,TXN10217,CLEAN,False
ORD10218,TXN10218,PARTIAL_SETTLEMENT,True
ORD10219,TXN10219,CLEAN,False
ORD10220,TXN10220,DUPLICATE_TRANSACTION,False
ORD10221,TXN10221,CLEAN,False
ORD10222,TXN10222,CLEAN,False
ORD10223,TXN10223,UNEXPECTED_FEE,False
ORD10224,TXN10224,CLEAN,False
ORD10225,TXN10225,CLEAN,False
ORD10226,TXN10226,CLEAN,False
ORD10227,TXN10227,CLEAN,False
ORD10228,TXN10228,CLEAN,False
ORD10229,TXN10229,DATE_MISMATCH,False
ORD10230,TXN10230,UNEXPECTED_FEE,False
ORD10231,TXN10231,CLEAN,False
ORD10232,TXN10232,CLEAN,False
ORD10233,TXN10233,CLEAN,False
ORD10234,TXN10234,CLEAN,False
ORD10235,TXN10235,CURRENCY_MISMATCH,True
ORD10236,TXN10236,CLEAN,False
ORD10237,TXN10237,CLEAN,False
ORD10238,TXN10238,CLEAN,False
ORD10239,TXN10239,INVALID_REFERENCE,False
ORD10240,TXN10240,CLEAN,False
ORD10241,TXN10241,CLEAN,False
ORD10242,TXN10242,CLEAN,False
ORD10243,TXN10243,CLEAN,False
ORD10244,TXN10244,CLEAN,False
ORD10245,TXN10245,POSSIBLE_DUPLICATE,True
ORD10246,TXN10246,CLEAN,False
ORD10247,TXN10247,AMOUNT_MISMATCH,True
ORD10248,TXN10248,DATE_MISMATCH,False
ORD10249,TXN10249,CLEAN,False
ORD10250,TXN10250,CLEAN,True
ORD10251,TXN10251,CLEAN,False
ORD10252,TXN10252,CLEAN,True
ORD10253,TXN10253,CLEAN,True
ORD10254,TXN10254,MISSING_SETTLEMENT,False
ORD10255,TXN10255,CLEAN,False
ORD10256,TXN10256,CLEAN,True
ORD10257,TXN10257,CLEAN,False
ORD10258,TXN10258,CLEAN,False
ORD10259,TXN10259,PARTIAL_SETTLEMENT,False
ORD10260,TXN10260,MISSING_SETTLEMENT,False
ORD10261,TXN10261,INVALID_REFERENCE,False
ORD10262,TXN10262,CLEAN,False
ORD10263,TXN10263,MISSING_INVOICE,False
ORD10264,TXN10264,CLEAN,False
ORD10265,TXN10265,CLEAN,False
ORD10266,TXN10266,UNEXPECTED_FEE,False
ORD10267,TXN10267,PARTIAL_SETTLEMENT,False
ORD10268,TXN10268,CLEAN,False
ORD10269,TXN10269,CLEAN,True
ORD10270,TXN10270,CURRENCY_MISMATCH,False
ORD10271,TXN10271,CLEAN,False
ORD10272,TXN10272,MISSING_PAYMENT,False
ORD10273,TXN10273,AMOUNT_MISMATCH,False
ORD10274,TXN10274,POSSIBLE_DUPLICATE,False
ORD10275,TXN10275,DATE_MISMATCH,False
ORD10276,TXN10276,CLEAN,False
ORD10277,TXN10277,CLEAN,False
ORD10278,TXN10278,MISSING_SETTLEMENT,False
ORD10279,TXN10279,AMOUNT_MISMATCH,False
ORD10280,TXN10280,CLEAN,False
ORD10281,TXN10281,CLEAN,False
ORD10282,TXN10282,CLEAN,False
ORD10283,TXN10283,CLEAN,False
ORD10284,TXN10284,CLEAN,False
ORD10285,TXN10285,CLEAN,True
ORD10286,TXN10286,CLEAN,False
ORD10287,TXN10287,MISSING_PAYMENT,False
ORD10288,TXN10288,CURRENCY_MISMATCH,True
ORD10289,TXN10289,CLEAN,False
ORD10290,TXN10290,DATE_MISMATCH,False
ORD10291,TXN10291,MISSING_PAYMENT,False
ORD10292,TXN10292,CLEAN,False
ORD10293,TXN10293,CLEAN,False
ORD10294,TXN10294,CLEAN,False
ORD10295,TXN10295,CLEAN,False
ORD10296,TXN10296,CLEAN,False
ORD10297,TXN10297,INVALID_REFERENCE,False
ORD10298,TXN10298,CLEAN,False
ORD10299,TXN10299,CLEAN,False
ORD10300,TXN10300,CLEAN,False
ORD10301,TXN10301,CLEAN,False
ORD10302,TXN10302,CLEAN,True
ORD10303,TXN10303,MISSING_PAYMENT,False
ORD10304,TXN10304,CLEAN,False
ORD10305,TXN10305,CLEAN,False
ORD10306,TXN10306,CLEAN,False
ORD10307,TXN10307,AMOUNT_MISMATCH,False
ORD10308,TXN10308,AMOUNT_MISMATCH,False
ORD10309,TXN10309,CURRENCY_MISMATCH,False
ORD10310,TXN10310,CLEAN,False
ORD10311,TXN10311,MISSING_PAYMENT,False
ORD10312,TXN10312,CLEAN,False
ORD10313,TXN10313,CLEAN,False
ORD10314,TXN10314,CLEAN,False
ORD10315,TXN10315,MISSING_SETTLEMENT,False
ORD10316,TXN10316,MISSING_SETTLEMENT,False
ORD10317,TXN10317,POSSIBLE_DUPLICATE,False
ORD10318,TXN10318,POSSIBLE_DUPLICATE,False
ORD10319,TXN10319,CLEAN,True
ORD10320,TXN10320,CLEAN,True
ORD10321,TXN10321,MISSING_SETTLEMENT,False
ORD10322,TXN10322,CLEAN,True
ORD10323,TXN10323,CURRENCY_MISMATCH,False
ORD10324,TXN10324,POSSIBLE_DUPLICATE,False
ORD10325,TXN10325,AMOUNT_MISMATCH,False
ORD10326,TXN10326,CLEAN,True
ORD10327,TXN10327,CURRENCY_MISMATCH,False
ORD10328,TXN10328,CLEAN,False
ORD10329,TXN10329,CLEAN,False
ORD10330,TXN10330,MISSING_SETTLEMENT,True
ORD10331,TXN10331,CLEAN,False
ORD10332,TXN10332,UNEXPECTED_FEE,False
ORD10333,TXN10333,CLEAN,True
ORD10334,TXN10334,CLEAN,True
ORD10335,TXN10335,DUPLICATE_TRANSACTION,False
ORD10336,TXN10336,CLEAN,False
ORD10337,TXN10337,CLEAN,False
ORD10338,TXN10338,POSSIBLE_DUPLICATE,False
ORD10339,TXN10339,MISSING_INVOICE,False
ORD10340,TXN10340,AMOUNT_MISMATCH,False
ORD10341,TXN10341,AMOUNT_MISMATCH,False
ORD10342,TXN10342,DATE_MISMATCH,False
ORD10343,TXN10343,UNEXPECTED_FEE,False
ORD10344,TXN10344,POSSIBLE_DUPLICATE,False
ORD10345,TXN10345,CLEAN,False
ORD10346,TXN10346,MISSING_SETTLEMENT,False
ORD10347,TXN10347,CLEAN,False
ORD10348,TXN10348,DATE_MISMATCH,False
ORD10349,TXN10349,PARTIAL_SETTLEMENT,True
ORD10350,TXN10350,CLEAN,False
ORD10351,TXN10351,AMOUNT_MISMATCH,False
ORD10352,TXN10352,CLEAN,False
ORD10353,TXN10353,MISSING_SETTLEMENT,False
ORD10354,TXN10354,CLEAN,False
ORD10355,TXN10355,INVALID_REFERENCE,False
ORD10356,TXN10356,CLEAN,True
ORD10357,TXN10357,AMOUNT_MISMATCH,False
ORD10358,TXN10358,POSSIBLE_DUPLICATE,True
ORD10359,TXN10359,POSSIBLE_DUPLICATE,False
ORD10360,TXN10360,PARTIAL_SETTLEMENT,False
ORD10361,TXN10361,PARTIAL_SETTLEMENT,False
ORD10362,TXN10362,CLEAN,False
ORD10363,TXN10363,AMOUNT_MISMATCH,False
ORD10364,TXN10364,MISSING_SETTLEMENT,False
ORD10365,TXN10365,CLEAN,False
ORD10366,TXN10366,MISSING_INVOICE,False
ORD10367,TXN10367,CLEAN,False
ORD10368,TXN10368,MISSING_INVOICE,False
ORD10369,TXN10369,PARTIAL_SETTLEMENT,False
ORD10370,TXN10370,CLEAN,False
ORD10371,TXN10371,MISSING_SETTLEMENT,False
ORD10372,TXN10372,UNEXPECTED_FEE,False
ORD10373,TXN10373,CLEAN,False
ORD10374,TXN10374,AMOUNT_MISMATCH,False
ORD10375,TXN10375,CLEAN,True
ORD10376,TXN10376,CLEAN,False
ORD10377,TXN10377,CLEAN,False
ORD10378,TXN10378,CLEAN,False
ORD10379,TXN10379,CLEAN,True
ORD10380,TXN10380,PARTIAL_SETTLEMENT,False
ORD10381,TXN10381,CLEAN,False
ORD10382,TXN10382,CLEAN,False
ORD10383,TXN10383,CLEAN,False
ORD10384,TXN10384,CLEAN,False
ORD10385,TXN10385,CLEAN,False
ORD10386,TXN10386,CLEAN,False
ORD10387,TXN10387,CLEAN,False
ORD10388,TXN10388,CURRENCY_MISMATCH,False
ORD10389,TXN10389,MISSING_SETTLEMENT,False
ORD10390,TXN10390,CLEAN,False
ORD10391,TXN10391,CLEAN,False
ORD10392,TXN10392,CLEAN,False
ORD10393,TXN10393,CLEAN,False
ORD10394,TXN10394,CLEAN,False
ORD10395,TXN10395,POSSIBLE_DUPLICATE,False
ORD10396,TXN10396,CLEAN,False
ORD10397,TXN10397,MISSING_PAYMENT,False
ORD10398,TXN10398,CLEAN,False
ORD10399,TXN10399,CLEAN,False
ORD10400,TXN10400,AMOUNT_MISMATCH,False
ORD10401,TXN10401,CLEAN,False
ORD10402,TXN10402,DUPLICATE_TRANSACTION,False
ORD10403,TXN10403,INVALID_REFERENCE,False
ORD10404,TXN10404,DATE_MISMATCH,False
ORD10405,TXN10405,MISSING_INVOICE,False
ORD10406,TXN10406,POSSIBLE_DUPLICATE,False
ORD10407,TXN10407,POSSIBLE_DUPLICATE,False
ORD10408,TXN10408,CLEAN,False
ORD10409,TXN10409,CLEAN,False
ORD10410,TXN10410,MISSING_PAYMENT,False
ORD10411,TXN10411,CLEAN,False
ORD10412,TXN10412,CLEAN,False
ORD10413,TXN10413,CLEAN,False
ORD10414,TXN10414,POSSIBLE_DUPLICATE,False
ORD10415,TXN10415,CLEAN,False
ORD10416,TXN10416,CLEAN,False
ORD10417,TXN10417,POSSIBLE_DUPLICATE,False
ORD10418,TXN10418,AMOUNT_MISMATCH,False
ORD10419,TXN10419,DATE_MISMATCH,False
ORD10420,TXN10420,AMOUNT_MISMATCH,False
ORD10421,TXN10421,CLEAN,False
ORD10422,TXN10422,CLEAN,True
ORD10423,TXN10423,DUPLICATE_TRANSACTION,False
ORD10424,TXN10424,DUPLICATE_TRANSACTION,False
ORD10425,TXN10425,MISSING_SETTLEMENT,False
ORD10426,TXN10426,CLEAN,False
ORD10427,TXN10427,CLEAN,False
ORD10428,TXN10428,CLEAN,True
ORD10429,TXN10429,CLEAN,False
ORD10430,TXN10430,CLEAN,False
ORD10431,TXN10431,DUPLICATE_TRANSACTION,False
ORD10432,TXN10432,MISSING_SETTLEMENT,True
ORD10433,TXN10433,CLEAN,True
ORD10434,TXN10434,CLEAN,False
ORD10435,TXN10435,CLEAN,False
ORD10436,TXN10436,CLEAN,True
ORD10437,TXN10437,AMOUNT_MISMATCH,True
ORD10438,TXN10438,CLEAN,False
ORD10439,TXN10439,DUPLICATE_TRANSACTION,False
ORD10440,TXN10440,DUPLICATE_TRANSACTION,False
ORD10441,TXN10441,PARTIAL_SETTLEMENT,False
ORD10442,TXN10442,AMOUNT_MISMATCH,True
ORD10443,TXN10443,CURRENCY_MISMATCH,False
ORD10444,TXN10444,UNEXPECTED_FEE,False
ORD10445,TXN10445,INVALID_REFERENCE,True
ORD10446,TXN10446,CLEAN,False
ORD10447,TXN10447,DATE_MISMATCH,False
ORD10448,TXN10448,CLEAN,False
ORD10449,TXN10449,CLEAN,False
ORD10450,TXN10450,MISSING_SETTLEMENT,False
ORD10451,TXN10451,CLEAN,False
ORD10452,TXN10452,AMOUNT_MISMATCH,False
ORD10453,TXN10453,POSSIBLE_DUPLICATE,False
ORD10454,TXN10454,CLEAN,False
ORD10455,TXN10455,INVALID_REFERENCE,False
ORD10456,TXN10456,POSSIBLE_DUPLICATE,True
ORD10457,TXN10457,CLEAN,False
ORD10458,TXN10458,CLEAN,False
ORD10459,TXN10459,MISSING_SETTLEMENT,False
ORD10460,TXN10460,POSSIBLE_DUPLICATE,False
ORD10461,TXN10461,CLEAN,False
ORD10462,TXN10462,CLEAN,False
ORD10463,TXN10463,MISSING_PAYMENT,False
ORD10464,TXN10464,CLEAN,False
ORD10465,TXN10465,CLEAN,True
ORD10466,TXN10466,POSSIBLE_DUPLICATE,True
ORD10467,TXN10467,MISSING_PAYMENT,False
ORD10468,TXN10468,CLEAN,False
ORD10469,TXN10469,CURRENCY_MISMATCH,False
ORD10470,TXN10470,DATE_MISMATCH,False
ORD10471,TXN10471,MISSING_SETTLEMENT,False
ORD10472,TXN10472,CLEAN,False
ORD10473,TXN10473,DUPLICATE_TRANSACTION,False
ORD10474,TXN10474,PARTIAL_SETTLEMENT,False
ORD10475,TXN10475,CLEAN,False
ORD10476,TXN10476,AMOUNT_MISMATCH,False
ORD10477,TXN10477,CLEAN,False
ORD10478,TXN10478,CLEAN,False
ORD10479,TXN10479,CLEAN,False
ORD10480,TXN10480,AMOUNT_MISMATCH,False
ORD10481,TXN10481,CLEAN,False
ORD10482,TXN10482,AMOUNT_MISMATCH,False
ORD10483,TXN10483,MISSING_INVOICE,False
ORD10484,TXN10484,CLEAN,False
ORD10485,TXN10485,CLEAN,False
ORD10486,TXN10486,CLEAN,False
ORD10487,TXN10487,CLEAN,False
ORD10488,TXN10488,PARTIAL_SETTLEMENT,False
ORD10489,TXN10489,CLEAN,False
ORD10490,TXN10490,UNEXPECTED_FEE,False
ORD10491,TXN10491,CLEAN,False
ORD10492,TXN10492,POSSIBLE_DUPLICATE,True
ORD10493,TXN10493,CLEAN,False
ORD10494,TXN10494,MISSING_PAYMENT,False
ORD10495,TXN10495,CLEAN,False
ORD10496,TXN10496,CLEAN,False
ORD10497,TXN10497,CLEAN,False
ORD10498,TXN10498,CLEAN,False
ORD10499,TXN10499,INVALID_REFERENCE,False
ORD10500,TXN10500,AMOUNT_MISMATCH,False
ORD10501,TXN10501,POSSIBLE_DUPLICATE,False
ORD10502,TXN10502,CLEAN,False
ORD10503,TXN10503,MISSING_SETTLEMENT,False
ORD10504,TXN10504,MISSING_INVOICE,True
ORD10505,TXN10505,DUPLICATE_TRANSACTION,False
ORD10506,TXN10506,CLEAN,False
ORD10507,TXN10507,MISSING_INVOICE,False
ORD10508,TXN10508,CLEAN,False
ORD10509,TXN10509,CLEAN,False
ORD10510,TXN10510,PARTIAL_SETTLEMENT,False
ORD10511,TXN10511,CLEAN,False
ORD10512,TXN10512,DATE_MISMATCH,False
ORD10513,TXN10513,CLEAN,False
ORD10514,TXN10514,MISSING_SETTLEMENT,True
ORD10515,TXN10515,PARTIAL_SETTLEMENT,False
ORD10516,TXN10516,CLEAN,False
ORD10517,TXN10517,CLEAN,False
ORD10518,TXN10518,MISSING_PAYMENT,False
ORD10519,TXN10519,CLEAN,True
ORD10520,TXN10520,PARTIAL_SETTLEMENT,False
ORD10521,TXN10521,DUPLICATE_TRANSACTION,False
ORD10522,TXN10522,CLEAN,False
ORD10523,TXN10523,CLEAN,False
ORD10524,TXN10524,CLEAN,False
ORD10525,TXN10525,MISSING_INVOICE,False
ORD10526,TXN10526,CLEAN,False
ORD10527,TXN10527,CLEAN,False
ORD10528,TXN10528,CLEAN,False
ORD10529,TXN10529,CLEAN,False
ORD10530,TXN10530,UNEXPECTED_FEE,False
ORD10531,TXN10531,CLEAN,False
ORD10532,TXN10532,CLEAN,False
ORD10533,TXN10533,CLEAN,False
ORD10534,TXN10534,CLEAN,False
ORD10535,TXN10535,CLEAN,False
ORD10536,TXN10536,MISSING_SETTLEMENT,True
ORD10537,TXN10537,CLEAN,False
ORD10538,TXN10538,CURRENCY_MISMATCH,False
ORD10539,TXN10539,CLEAN,False
ORD10540,TXN10540,CLEAN,False
ORD10541,TXN10541,CLEAN,False
ORD10542,TXN10542,DUPLICATE_TRANSACTION,False
ORD10543,TXN10543,MISSING_PAYMENT,False
ORD10544,TXN10544,AMOUNT_MISMATCH,True
ORD10545,TXN10545,PARTIAL_SETTLEMENT,False
ORD10546,TXN10546,AMOUNT_MISMATCH,False
ORD10547,TXN10547,UNEXPECTED_FEE,False
ORD10548,TXN10548,CURRENCY_MISMATCH,False
ORD10549,TXN10549,CLEAN,False
ORD10550,TXN10550,CLEAN,False
ORD10551,TXN10551,DATE_MISMATCH,False
ORD10552,TXN10552,CLEAN,False
ORD10553,TXN10553,CLEAN,False
ORD10554,TXN10554,CLEAN,False
ORD10555,TXN10555,CLEAN,False
ORD10556,TXN10556,MISSING_SETTLEMENT,False
ORD10557,TXN10557,MISSING_SETTLEMENT,False
ORD10558,TXN10558,MISSING_INVOICE,False
ORD10559,TXN10559,CLEAN,False
ORD10560,TXN10560,CLEAN,False
ORD10561,TXN10561,DATE_MISMATCH,False
ORD10562,TXN10562,CLEAN,False
ORD10563,TXN10563,CURRENCY_MISMATCH,False
ORD10564,TXN10564,CLEAN,False
ORD10565,TXN10565,DATE_MISMATCH,False
ORD10566,TXN10566,MISSING_PAYMENT,False
ORD10567,TXN10567,AMOUNT_MISMATCH,False
ORD10568,TXN10568,DUPLICATE_TRANSACTION,False
ORD10569,TXN10569,POSSIBLE_DUPLICATE,False
ORD10570,TXN10570,AMOUNT_MISMATCH,False
ORD10571,TXN10571,CLEAN,False
ORD10572,TXN10572,MISSING_PAYMENT,False
ORD10573,TXN10573,CURRENCY_MISMATCH,False
ORD10574,TXN10574,MISSING_PAYMENT,False
ORD10575,TXN10575,DUPLICATE_TRANSACTION,False
ORD10576,TXN10576,UNEXPECTED_FEE,False
ORD10577,TXN10577,CLEAN,False
ORD10578,TXN10578,MISSING_SETTLEMENT,True
ORD10579,TXN10579,CLEAN,False
ORD10580,TXN10580,CLEAN,False
ORD10581,TXN10581,CLEAN,False
ORD10582,TXN10582,CLEAN,False
ORD10583,TXN10583,CLEAN,True
ORD10584,TXN10584,UNEXPECTED_FEE,True
ORD10585,TXN10585,POSSIBLE_DUPLICATE,True
ORD10586,TXN10586,AMOUNT_MISMATCH,False
ORD10587,TXN10587,CLEAN,False
ORD10588,TXN10588,UNEXPECTED_FEE,False
ORD10589,TXN10589,MISSING_SETTLEMENT,False
ORD10590,TXN10590,CLEAN,False
ORD10591,TXN10591,CLEAN,False
ORD10592,TXN10592,DATE_MISMATCH,False
ORD10593,TXN10593,CLEAN,False
ORD10594,TXN10594,MISSING_INVOICE,True
ORD10595,TXN10595,POSSIBLE_DUPLICATE,False
