settlement_id,transaction_id,settled_amount,settlement_date,fee,currency,bank_reference,settlement_status
STL10210,TXN10210,60556.51,2026-07-22,1237.48,INR,BANKREF20210,settled
STL10211,TXN10211,43688.71,2026-08-03,891.61,INR,BANKREF20211,settled
STL10213,txn10213,"72,519.95",17-Aug-2026,"1,480.00",INR,BANKREF20213,settled
STL10214,TXN10214,21615.30,2026-07-07,441.13,INR,BANKREF20214,settled
STL10215,TXN10215,934.85,2026-06-04,19.08,INR,BANKREF20215,settled
STL10216,REF_CNUPYF,22930.62,2026-07-20,467.97,INR,BANKREF20216,settled
STL10217,TXN10217,70115.62,2026-06-13,1430.93,INR,BANKREF20217,settled
STL10218,  TXN10218  ,12554.02 INR,21-Jun-2026,502.16,USD,BANKREF20218,partial
STL10219,TXN10219,56723.63,2026-06-17,1157.63,USD,BANKREF20219,settled
STL10220,TXN10220,31110.34,2026-07-10,634.91,INR,BANKREF20220,settled
STL10221,TXN10221,10888.03,2026-07-27,222.20,USD,BANKREF20221,settled
STL10222,TXN10222,39733.70,2026-07-04,810.89,INR,BANKREF20222,settled
STL10223,TXN10223,46279.76,2026-07-02,4577.12,INR,BANKREF20223,settled
STL10224,TXN10224,6535.42,2026-07-25,133.38,USD,BANKREF20224,settled
STL10225,TXN10225,65065.67,2026-07-05,1327.87,INR,BANKREF20225,settled
STL10226,TXN10226,6864.81,2026-07-24,140.10,INR,BANKREF20226,settled
STL10227,TXN10227,18177.27,2026-08-01,370.96,INR,BANKREF20227,settled
STL10228,TXN10228,57890.88,2026-06-13,1181.45,INR,BANKREF20228,settled
STL10229,TXN10229,7004.01,2026-07-05,142.94,INR,BANKREF20229,settled
STL10230,TXN10230,63171.84,2026-06-20,6247.76,INR,BANKREF20230,settled
STL10231,TXN10231,14851.00,2026-06-15,303.08,INR,BANKREF20231,settled
STL10232,TXN10232,35832.70,2026-07-26,731.28,INR,BANKREF20232,settled
STL10233,TXN10233,18976.53,2026-07-08,387.28,INR,BANKREF20233,settled
STL10234,TXN10234,27323.62,2026-06-18,557.62,INR,BANKREF20234,settled
STL10235,TxN10235,"66,361.98",07-29-2026,"₹1,354.33",USD,BANKREF20235,settled
STL10236,TXN10236,43512.73,2026-07-21,888.02,USD,BANKREF20236,settled
STL10237,TXN10237,27622.52,2026-06-28,563.72,INR,BANKREF20237,settled
STL10238,TXN10238,52743.87,2026-06-14,1076.41,INR,BANKREF20238,settled
STL10239,REF_WQM3RW,65330.92,2026-06-10,1333.28,INR,BANKREF20239,settled
STL10240,TXN10240,16367.62,2026-06-06,334.03,INR,BANKREF20240,settled
STL10241,TXN10241,30799.34,2026-06-18,628.56,INR,BANKREF20241,settled
STL10242,TXN10242,36138.89,2026-06-24,737.53,INR,BANKREF20242,settled
STL10243,TXN10243,41198.90,2026-07-26,840.79,INR,BANKREF20243,settled
STL10244,TXN10244,73359.48,2026-07-31,1497.13,INR,BANKREF20244,settled
STL10245,  TXN10245  ,10693.66 INR,12/07/2026,218.24 INR,INR,BANKREF20245,settled
STL10246,TXN10246,42035.48,2026-06-12,857.87,INR,BANKREF20246,settled
STL10247,TxN10247,"44,075.38",07-25-2026,901.78,INR,BANKREF20247,settled
STL10248,TXN10248,38153.94,2026-07-05,778.65,INR,BANKREF20248,settled
STL10249,TXN10249,9881.16,2026-07-14,201.66,INR,BANKREF20249,settled
STL10250,TxN10250,"42,298.26",07-27-2026,863.23,INR,BANKREF20250,settled
STL10251,TXN10251,32867.50,2026-06-03,670.77,INR,BANKREF20251,settled
STL10252,txn10252,"45,539.64",06-14-2026,₹929.38,INR,BANKREF20252,settled
STL10253,TxN10253,7648.47 INR,2026-07-28,₹156.09,INR,BANKREF20253,settled
STL10255,TXN10255,69697.36,2026-06-05,1422.40,INR,BANKREF20255,settled
STL10256,TxN10256,2755.69,08-03-2026,56.24,USD,BANKREF20256,settled
STL10257,TXN10257,18395.97,2026-07-01,375.43,INR,BANKREF20257,settled
STL10258,TXN10258,23905.95,2026-06-15,487.88,INR,BANKREF20258,settled
STL10259,TXN10259,23763.77,2026-07-23,950.55,INR,BANKREF20259,partial
STL10261,REF_KXEV8S,9030.99,2026-06-02,184.31,INR,BANKREF20261,settled
STL10262,TXN10262,34333.96,2026-07-07,700.69,INR,BANKREF20262,settled
STL10263,TXN10263,21260.33,2026-06-18,433.88,USD,BANKREF20263,settled
STL10264,TXN10264,51100.25,2026-06-17,1042.86,USD,BANKREF20264,settled
STL10265,TXN10265,45078.73,2026-07-02,919.97,INR,BANKREF20265,settled
STL10266,TXN10266,37300.06,2026-07-09,3689.02,USD,BANKREF20266,settled
STL10267,TXN10267,12239.14,2026-06-19,489.57,USD,BANKREF20267,partial
STL10268,TXN10268,40551.94,2026-07-12,827.59,INR,BANKREF20268,settled
STL10269,  TXN10269  ,26090.63 INR,22/07/2026,532.46,INR,BANKREF20269,settled
STL10270,TXN10270,19819.84,2026-07-13,404.49,USD,BANKREF20270,settled
STL10271,TXN10271,30223.49,2026-07-08,616.81,INR,BANKREF20271,settled
STL10272,TXN10272,44677.51,2026-06-27,911.79,USD,BANKREF20272,settled
STL10273,TXN10273,21194.64,2026-06-27,440.79,INR,BANKREF20273,settled
STL10274,TXN10274,32690.75,2026-06-15,667.16,INR,BANKREF20274,settled
STL10275,TXN10275,60407.88,2026-07-07,1232.81,INR,BANKREF20275,settled
STL10276,TXN10276,1975.27,2026-06-20,40.31,INR,BANKREF20276,settled
STL10277,TXN10277,38079.71,2026-07-06,777.14,INR,BANKREF20277,settled
STL10279,TXN10279,36596.69,2026-07-14,752.36,INR,BANKREF20279,settled
STL10280,TXN10280,66097.64,2026-07-09,1348.93,USD,BANKREF20280,settled
STL10281,TXN10281,27011.41,2026-06-08,551.25,INR,BANKREF20281,settled
STL10282,TXN10282,60328.35,2026-07-06,1231.19,INR,BANKREF20282,settled
STL10283,TXN10283,15350.51,2026-07-30,313.28,USD,BANKREF20283,settled
STL10284,TXN10284,50873.03,2026-06-03,1038.23,INR,BANKREF20284,settled
STL10285,txn10285,"₹43,126.28",15/07/2026,880.13,INR,BANKREF20285,settled
STL10286,TXN10286,12615.67,2026-07-05,257.46,INR,BANKREF20286,settled
STL10287,TXN10287,50346.41,2026-07-10,1027.48,INR,BANKREF20287,settled
STL10288,txn10288,2512.22,2026-07-13,₹51.27,USD,BANKREF20288,settled
STL10289,TXN10289,4104.60,2026-06-18,83.77,INR,BANKREF20289,settled
STL10290,TXN10290,22388.46,2026-07-31,456.91,INR,BANKREF20290,settled
STL10291,TXN10291,16349.08,2026-06-21,333.65,USD,BANKREF20291,settled
STL10292,TXN10292,12830.87,2026-06-25,261.85,INR,BANKREF20292,settled
STL10293,TXN10293,8530.89,2026-07-06,174.10,INR,BANKREF20293,settled
STL10294,TXN10294,40751.04,2026-06-27,831.65,INR,BANKREF20294,settled
STL10295,TXN10295,48857.07,2026-06-23,997.08,INR,BANKREF20295,settled
STL10296,TXN10296,40092.27,2026-07-22,818.21,INR,BANKREF20296,settled
STL10297,REF_8SIQEZ,15987.78,2026-06-28,326.28,INR,BANKREF20297,settled
STL10298,TXN10298,66131.71,2026-07-11,1349.63,USD,BANKREF20298,settled
STL10299,TXN10299,9311.18,2026-07-22,190.02,INR,BANKREF20299,settled
STL10300,TXN10300,48361.39,2026-07-10,986.97,INR,BANKREF20300,settled
STL10301,TXN10301,23662.77,2026-07-16,482.91,INR,BANKREF20301,settled
STL10302,  TXN10302  ,4936.00,22/06/2026,100.73 INR,INR,BANKREF20302,settled
STL10303,TXN10303,65935.48,2026-06-03,1345.62,INR,BANKREF20303,settled
STL10304,TXN10304,66603.56,2026-06-10,1359.26,INR,BANKREF20304,settled
STL10305,TXN10305,29801.03,2026-07-10,608.18,INR,BANKREF20305,settled
STL10306,TXN10306,40641.18,2026-07-14,829.41,INR,BANKREF20306,settled
STL10307,TXN10307,18368.74,2026-06-29,383.55,USD,BANKREF20307,settled
STL10308,TXN10308,65881.92,2026-07-28,1351.80,INR,BANKREF20308,settled
STL10309,TXN10309,15522.63,2026-08-01,316.79,USD,BANKREF20309,settled
STL10310,TXN10310,73361.24,2026-07-12,1497.17,INR,BANKREF20310,settled
STL10311,TXN10311,68377.18,2026-07-18,1395.45,INR,BANKREF20311,settled
STL10312,TXN10312,37434.54,2026-07-16,763.97,INR,BANKREF20312,settled
STL10313,TXN10313,69998.66,2026-07-26,1428.54,INR,BANKREF20313,settled
STL10314,TXN10314,19202.85,2026-06-05,391.89,USD,BANKREF20314,settled
STL10317,TXN10317,43225.61,2026-06-17,882.16,INR,BANKREF20317,settled
STL10318,TXN10318,71981.24,2026-07-27,1469.01,USD,BANKREF20318,settled
STL10319,TxN10319,"₹35,816.05",05/06/2026,730.94 INR,INR,BANKREF20319,settled
STL10320,  TXN10320  ,12436.53 INR,2026-06-08,253.81,INR,BANKREF20320,settled
STL10322,TxN10322,"10,275.37",2026-06-03,209.70 INR,INR,BANKREF20322,settled
STL10323,TXN10323,23598.07,2026-06-25,481.59,USD,BANKREF20323,settled
STL10324,TXN10324,7969.34,2026-07-23,162.64,INR,BANKREF20324,settled
STL10325,TXN10325,36404.91,2026-06-12,750.30,INR,BANKREF20325,settled
STL10326,  TXN10326  ,32628.91 INR,2026-06-27,₹665.90,INR,BANKREF20326,settled
STL10327,TXN10327,48662.61,2026-07-05,993.11,USD,BANKREF20327,settled
STL10328,TXN10328,66453.36,2026-06-14,1356.19,INR,BANKREF20328,settled
STL10329,TXN10329,6340.24,2026-06-23,129.39,INR,BANKREF20329,settled
STL10331,TXN10331,65066.41,2026-06-05,1327.89,USD,BANKREF20331,settled
STL10332,TXN10332,45108.80,2026-06-27,4461.31,INR,BANKREF20332,settled
STL10333,txn10333,"₹32,495.28",19/06/2026,663.17 INR,USD,BANKREF20333,settled
STL10334,TxN10334,"39,825.12",2026-07-17,₹812.76,INR,BANKREF20334,settled
STL10335,TXN10335,12668.47,2026-06-15,258.54,USD,BANKREF20335,settled
STL10336,TXN10336,29778.57,2026-06-06,607.73,INR,BANKREF20336,settled
STL10337,TXN10337,52024.52,2026-07-01,1061.72,INR,BANKREF20337,settled
STL10338,TXN10338,12429.91,2026-07-20,253.67,INR,BANKREF20338,settled
STL10339,TXN10339,37766.50,2026-07-07,770.75,INR,BANKREF20339,settled
STL10340,TXN10340,7253.06,2026-07-09,151.27,INR,BANKREF20340,settled
STL10341,TXN10341,50764.07,2026-06-03,1041.50,INR,BANKREF20341,settled
STL10342,TXN10342,13697.10,2026-07-27,279.53,INR,BANKREF20342,settled
STL10343,TXN10343,68063.80,2026-07-20,6731.59,USD,BANKREF20343,settled
STL10344,TXN10344,35857.28,2026-07-02,731.78,INR,BANKREF20344,settled
STL10345,TXN10345,71116.59,2026-07-17,1451.36,INR,BANKREF20345,settled
STL10347,TXN10347,24421.16,2026-07-02,498.39,INR,BANKREF20347,settled
STL10348,TXN10348,24598.08,2026-06-16,502.00,INR,BANKREF20348,settled
STL10349,TxN10349,"₹10,261.38",21/06/2026,410.46,INR,BANKREF20349,partial
STL10350,TXN10350,64164.26,2026-08-03,1309.47,INR,BANKREF20350,settled
STL10351,TXN10351,62647.62,2026-06-18,1280.10,USD,BANKREF20351,settled
STL10352,TXN10352,64960.59,2026-07-22,1325.73,INR,BANKREF20352,settled
STL10354,TXN10354,56789.87,2026-08-02,1158.98,USD,BANKREF20354,settled
STL10355,REF_VCGU9M,53435.92,2026-07-07,1090.53,INR,BANKREF20355,settled
STL10356,  TXN10356  ,"₹53,035.88",02/08/2026,1082.37 INR,INR,BANKREF20356,settled
